漢字	同音同調	同音異調	近音同調	近音異調	同部首同筆畫數
幾	畸姬畿其璣羈給肌犄脊己飢癘雞磯乩唧積箕麂幾擠奇譏激績期屐機嵇跡勣稽蹟基躋嘰濟戟居饑	洎棘璣羈疾暨忌肌祭集脊己騎藉芰雞磯乩劑積幾記績期機屐楫瘠跡嵇覬紀蹟基計級極居妓冀畸戢姬畿其擊寄輯寂給犄薊飢及嫉癘際唧箕麂繼急伋擠薺奇吉譏激圾季即稷髻霽技汲稽勣吃亟既悸躋籍繫岌嘰濟鯽戟驥饑	攜烯嬉膝妻璽洗溪豈綺析乞啟棲漆慼蟋羲起蹊曦淅悉熹禧犀萋行蜥淒稀希吸欺徙晰畦兮鰓杞熙柒釐喜谿譆稽犧唏晞悽嘻西奚戚七僖	歧烯嬉耆惜祺璽洗細祁析乞祇祈枝漆迄夕錫歙錡氣曦熹悉旗犀萋汐麒蜥稀希欺崎熙奇汽柒矽喜企稽犧悽潟契席憩繫熄奚砌七僖攜琪齊琦蓆膝棋騎妻溪豈綺棄磧啟係期器媳棲訖慼息蟋羲起蹊昔褶淅淇其愒禧系翕行淒戲隙吸習徙臍畦晰鰭兮杞圻鰓岐衹釐譆谿亟唏嘻晞泣西戚緝檄襲	
刀	叨	悼到導島倒蹈搗稻盜禱道	滔濤絛偷掏韜都饕兜	斗濤萄蚪燾桃豆頭檮淘竇洮陡枓透讀鬥脰痘逃啕討陶套抖投逗	刁
刁	凋叼彫碉鯛貂雕	掉釣吊調弔	挑丟	頫眺挑條佻調迢蜩覜窕跳	刀
力	栗儷麗礫礪唳痢歷靂慄立溧蒞癘壢戾曆琍吏笠粒例利厲釙荔欐俐酈隸蠣勵瀝鬲莉	禮喱澧醴麗犁哩鯉犛貍籬黎娌璃浬釐離理驪邐李鋰梨狸裡罹裡漓蠡蜊俚	暱泥睨膩溺匿逆	妮尼泥霓呢你擬倪怩妳旎	
匕	彼鄙筆比沘妣	弊璧必敝鉍薜嗶痺箄襞避臂斃逼庇畢俾愎陛碧賁泌鄙蹕篦蔽詖埤辟閉弼婢祕比壁睥幣鼻裨			
十	塒拾石碩什蝕射實食提時	拭豕恃軾是匙溼獅氏虱使視失蝨豉噓仕噬誓筮施室嗜屍逝屎舐式屍適柿飾奭士詩螫弒市示試始勢侍世史師濕識矢事駛釋		賜泗肆廝鷥飼巳伺嗣撕似耜絲思死四祀司兕私食寺駟斯俟姒嘶	
卜	捕埔補哺	怖簿鈽步埠不佈布部			
又	幼鼬誘宥右柚祐有侑莠囿佑釉	游幽黝猶猷遊攸油悠由牖鈾有郵友疣莠酉尤優魷憂	樂要鑰耀藥拗曜鷂	要淆喲夭崤咬謠杳瑤僥窈堯搖邀洮吆舀榣腰餚姚麼遙餚窯妖爻	
三	參	傘散糝	扇姍縿刪山舢煽跚羶杉衫珊潸芟	鱔扇膳禪擅疝訕繕汕贍煽善閃單陝	丈上下
下	暇嚇夏廈	狎暇俠轄霞斜柙挾峽匣洽狹蝦黠遐呷瞎瑕	駕價架賈假稼嫁	嘉假夏鉀頰加葭傢甲挾迦浹痂賈莢戛袈夾茄豭佳胛家	丈三上
丈	脹障賬長仗幛漲帳杖瘴	長獐掌漳漲蟑樟彰章璋張	陣枕鴆臟葬朕賑震藏娠奘鎮振	禎髒枕診貞縝真怎針楨斟疹臻贓珍臧砧臢偵榛甄箴	三上下
上	賞晌尚	觴賞晌湯裳尚傷商殤	嗓哂審滲甚瀋腎蜃沁嬸脤喪慎沈	桑砷信滲申腎呻伸身沁參紳喪慎沈嗓哂審甚瀋莘深娠蜃森嬸脤神	丈三下
丫	押煆鴨呀壓鴉	訝啞衙涯雅亞蚜氬軋押芽牙疋			
丸	玩完汍頑	惋彎灣莞碗蜿腕挽萬宛玩輓晚皖綰豌剜娩婉	緣媛源員原轅園圓援騵猿湲元爰袁沅垣	宛院苑媛願淵願冤鴛鳶怨遠	凡
凡	藩蕃樊墦煩礬釩繁帆	氾繙犯範泛梵番販反汎蕃飯翻范返幡帆	涵函含韓榦汗寒	憾悍旱頜和漢汗頷銲翰撼蚶罕捍鼾瀚喊酣焊	丸
久	九韭赳灸酒糾玖	究舊啾臼救舅咎疚糾就廄揪鳩柩	朽巧雀悄姣皎僥愀角鵲較勦餃狡腳曉篠繳小鉸攪絞宿剿矯	毬溴囂袖蹺修哮消嬌邱簫肖竅醮蕉峭囚羞秋逍澆俏秀撬跤轎球誚鮫硝銷橇膠脩仇瞧宿傚蛟嗅蕭覺宵橋教蚯梟樵鞘憔酵姣裘驕窖削效笑焦詨龜霄驍泅殼交椒嘐求喬孝咻岫梂丘礁嘯較敲鏽郊譙酋鍬校叫僑臭瀟鞦休鰍繡學翹嚼	麼
麼	邀要喲夭妖吆腰	要淆耀夭崤咬杳謠瑤僥窈鑰堯搖洮鷂舀榣樂餚姚遙餚窯藥拗曜爻	幽攸悠優憂	游黝由牖郵友疣莠又尤幼猶猷遊鼬誘宥油右柚祐鈾有侑酉囿佑魷釉	久
也	野冶	噎曄琊鄴葉謁業拽椰頁靨射夜咽爺耶			乞
乞	起杞啟豈稽綺	歧琪齊琦耆棋騎妻祺溪棄磧祁祇期器祈棲訖枝漆迄慼錡氣其淇愒旗萋麒淒欺臍畦鰭崎圻汽奇岐衹柒企谿亟悽泣契憩戚砌七緝	幾脊己擠幾濟戟給麂	洎棘璣羈暨疾忌肌祭集脊騎藉芰雞磯乩劑積幾記績期機屐瘠楫跡嵇覬紀蹟基計級極居妓冀畸戢姬畿其擊寄輯寂犄薊及飢嫉癘際幾唧箕繼急伋薺奇吉譏激季圾稷即髻霽汲技稽勣吃亟既悸躋籍繫岌嘰濟鯽驥饑	也
於	盂妤隅娛榆愚魚逾禺輿愉褕竽蝓雩渝覦腴漁臾於諛圩餘余瑜俞予歟萸虞	瘉澦域瘀宇馭獄峪昱燠雨預迂語紆與煜齬慾噢芋育俞堉鬱豫羽毓裕禦籲嫗敔喻玉欲圉譽禺禹熨嶼癒寓愈諭圄御谷郁淤遇庾聿尉予浴	吾亡誣無毋鼯梧唔巫吳蕪蜈	武汙鵡晤騖巫侮悟塢誤誣務午五烏伍寤戊惡嗚嫵於物勿憮霧屋舞兀圬鎢捂軏污堊	
亡	王誣無毋鼯梧唔巫吳蕪蜈	武鵡騖巫惘誤誣網忘望烏惡嗚於妄物屋舞軏捂鎢枉堊汙往魍晤侮塢悟王務罔尢午五伍戊寤旺嫵勿憮霧汪兀圬污輞	盂玟妤隅娛榆愚魚耘文聞逾禺輿愉芸褕蝓竽雲雩雯紋渝筠蚊覦腴漁昀臾於諛紜圩餘勻余瑜俞雲予歟萸於虞	瘉員澦域瘀宇馭刎獄文瘟峪昱溫燠慍韻雨紊預迂語暈紆與煜醞齬慾噢氳芋育問俞穩堉鬱豫羽毓裕禦籲嫗敔喻玉欲圉聞孕譽吻禺禹熨隕嶼癒寓愈塭諭圄御谷郁運淤遇抆庾蘊汶聿允尉予免浴
兀	戊晤惡寤騖物勿悟塢霧誤務軏鎢堊	武汙鵡巫侮吾亡誣無吳午五烏毋伍惡嗚鼯嫵於唔憮屋舞圬鎢捂污梧蕪蜈	裕瘉澦禦域籲嫗馭喻獄玉欲譽禺熨峪昱燠癒寓愈諭御谷郁預語遇與煜慾芋育聿尉俞堉鬱豫浴毓	妤娛瘀宇逾褕竽蝓雨雩渝覦迂漁於語紆與噢齬餘余俞歟羽虞盂隅榆敔愚魚圉禺禹嶼輿愉圄淤腴臾諛庾圩瑜予萸於	
刃	衽紉妊韌認仞飪軔任賃	仁荏稔壬人忍兒任	讓	扔瓤嚷攘仍禳壤	
勺	數碩鑠芍蟀朔爍帥杓率妁韶	召邵紹捎哨燒說少稍梢	熟	叟鎖娑守壽受瑣綬嗽索颼嗾搜售嗦餿蒐繅搔蓑嫂狩所騷收手獸簑瘦梭授艘首縮藪莎唆掃擻	
千	簽阡嵌仟縴愆鉛騫謙牽搴遷韆籤	乾欠前塹縴遣黔歉倩箝虔潛淺鈐譴錢鉗	箋監間尖肩縑湔兼姦堅韉漸菅殲奸緘艱濺煎	件檻劍健僭見艦毽漸諫囝檢柬簡濺減筧踐監箭間閒薦腱鍵剪建鹼瞼繭餞鑑鑒澗賤撿揀儉薦	
叉	喳插差	察搽詫岔查茶剎差	搽擦		
口		釦佝叩扣寇	搞攪縞槁狗枸拷考烤杲稿苟	雊構夠搆高皋枸誥篙羔詬犒膏購告媾糕銬溝鉤勾靠垢遘睪句	
土	吐	凸荼兔塗酴圖菟禿徒余突屠吐途	賭堵睹篤肚	髑杜瀆蠹櫝讀犢黷度鍍嘟渡肚都督妒牘毒獨	
士	拭恃式軾適是柿飾奭氏使視螫弒市示試豉仕噬誓筮室勢侍世嗜識逝事釋舐	豕屍匙溼獅虱使拾詩碩失十蝨噓始塒石蝕實食施時提史師濕屍矢什屎射駛	賜祀泗肆兕食飼巳伺嗣似耜寺駟姒俟四	撕司廝絲斯鷥私思嘶死	
夕	翕潟戲隙係繫矽系汐歙細	攜烯嬉蓆膝惜璽洗溪析媳棲息蟋羲錫蹊昔褶曦淅悉熹禧犀行蜥稀希吸習徙晰畦兮鰓熙釐喜谿譆犧唏晞嘻西席奚熄襲僖檄	洎暨寄忌祭薊騎芰際劑繼薺記季稷髻霽技紀覬既悸計躋繫濟妓鯽驥冀	棘璣羈疾肌集脊己藉雞磯乩積幾績期屐機楫瘠嵇跡蹟基級極居戢畸姬畿其擊輯寂給犄飢及嫉癘幾唧箕麂擠急伋奇吉譏激圾即汲勣稽吃亟躋籍岌嘰濟戟饑	
大	迨貸黛怠逮岱待玳帶殆代戴袋	瘩搭逮待褡靼呆答打達韃怛歹躂	泰漯汰獺遢太遝榻態踏蹋塌撻躂	薹他颱塔牠抬它跆胎台臺苔檯她塌	
女	汝乳辱	燸儒茹入嚅濡蠕如褥辱忸孺	努弩鋁滷魯擄鹵呂櫓縷褸膂旅婁侶屢虜履	綠律臚鑪鱸麓戮顱爐奴嚕怒閭鷺濾錄穋祿賂率蘆路盧櫚露鹿僇碌氯駑驢陸廬慮瀘	
子	仔訾紫滓籽梓	訾紫淄籽漬錙梓咨茲字姿孜資諮齜玆吱仔恣滓緇貲孳輜滋髭自	芷徵止紙趾祇只指祉旨咫址	雉幟秩止蛭志芷氏脂值址肢執祇峙祉枝治支制質紙之祗誌芝姪稚窒植織梔咫泜痣智緻胝滯汁吱致置摭痔摯至製輊躑躓蜘直擲識知徵隻炙只趾指職卮旨殖	孓孑
孑	捷劫拮櫛桔截詰節羯訐傑竭桀睫擷結潔頡傑碣	姊階芥皆解街嗟戒揭疥界偕藉誡結姐借介接屆	攜協邪斜挾伽諧偕鞋擷茄頡脅勰	蟹切愜駭懈妾竊燮蠍楔洩血紲邂榭歇屜解洩寫屑怯些卸械且瀉謝褻契挈鍥	孓子
孓	鴃掘鱖抉決獗譎蹶劂腳倔玨角攫爵崛觼覺蕨訣厥絕嚼噱	倔蹶嗟	瘸穴學	穴雪薛靴確雀闕恪怯削卻缺闋鵲殼榷血噱	子孑
寸	吋	忖皴村存	衝愴創闖	衝沖蟲蟲窗春匆撞淙床從鶉崇瘡闖囪舂淳創醇蔥充樅蠢寵純唇憧重脣搶幢叢聰	
小	篠曉	梟嘯逍囂酵哮消削硝銷效笑霄驍校簫肖傚嘐瀟蕭孝學宵	朽姣皎糾玖僥角灸九較勦餃酒狡腳繳鉸攪韭宿赳絞久剿矯	溴啾袖修嬌廄揪鳩醮羞蕉究舊澆秀舅跤轎疚鮫脩膠宿蛟嗅覺教救姣驕窖就糾焦詨交椒咻岫柩礁較臼咎鏽郊校叫臭休繡嚼	
尢	汪	往望魍旺妄亡惘王網枉罔輞忘	瘟溫暈氳塭	員玟刎耘文聞孕吻熨隕慍芸雲韻雯運紋紊蚊筠昀暈醞抆蘊汶紜允勻問雲穩免	
屍	獅師濕虱詩屍失蝨施溼噓	拭豕恃軾是匙氏拾使視豉仕噬蝕誓筮室提嗜什逝屎舐式適柿飾奭士碩螫十弒市示試始塒石食實時勢侍世史識矢射事駛釋	撕司廝絲斯鷥私思嘶	賜祀泗肆兕食飼巳嗣伺耜似寺駟姒俟思死四	
山	扇姍縿刪舢煽跚杉衫羶珊潸芟	鱔扇膳禪擅疝訕繕汕贍煽善閃單陝	三參	傘散糝	
川	穿	釧船舛串傳喘		爨竄篡	
工	共攻宮紅蚣恭肱躬功弓供釭龔公	礦鞏共汞貢供廾拱	倥髡琨焜崆坤錕昆空硿崑	輥鯀倥滾梱空袞孔捆睏恐綑棍困控	
己	幾脊擠幾濟戟給麂	洎棘璣羈暨疾忌肌祭集脊騎藉芰雞磯乩劑積幾記績期機屐瘠楫跡嵇覬紀蹟基計級極居妓冀畸戢姬畿其擊寄輯寂犄薊及飢嫉癘際幾唧箕繼急伋薺奇吉譏激季圾稷即髻霽汲技稽勣吃亟既悸躋籍繫岌嘰濟鯽驥饑	起鰓杞乞啟璽徙洗喜豈稽綺	歧烯嬉耆惜祺細析祁祇祈枝漆迄夕錫歙錡氣曦悉熹旗犀汐萋麒蜥稀希欺崎汽奇熙柒矽企犧悽潟契繫席憩奚熄砌七僖攜琪齊琦蓆膝棋騎妻溪棄磧係期器媳棲訖息慼蟋羲蹊昔褶淅淇其愒禧系行翕淒戲隙吸習臍畦晰鰭兮圻岐衹釐譆谿亟唏晞嘻西泣戚緝襲檄	巳已
已	尾椅以蟻乙矣旖偯迤迆倚	漪藝屹肄軼刈誼囈迤移縊逸彝溢佾夷沂宜劓醫疫頤噫疑懿鎰毅揖義訑蛇邑億液佚役儀易羿裔姨咦弋蜴壹驛飴弈譯帟翌異益栘臆遺亦艾腋曳咿議詣意伊繹怡貽憶掖浥翳圯胰奕一翼抑衣痍依			己巳
巳	賜祀泗兕肆食飼伺嗣似耜寺駟姒俟四	撕司廝絲斯鷥私思嘶死	拭恃式軾適是飾柿奭氏士使視螫弒市示試豉仕噬誓筮室勢侍世嗜識逝事釋舐	豕屍匙溼獅虱使拾詩碩失十蝨噓始塒石蝕實食施時提史師濕屍矢什屎射駛	己已
巾	襟觔浸斤金矜津禁筋今	盡饉燼晉緊噤勁僅禁儘覲縉浸謹瑾進錦近	鎗青涇槍心粳馨芯精羌傾鑲漿廂韁訢莖興新親莘疆惺鄉星嗆經氫香頃搶昕清欣驚江鋅睛襄鏘薑腔蜻更兢鯖侵晶旌欽僵京湘鯨卿荊菁輕薪嶔瓖辛姜腥箱將猩相	邢竟牆頸靖信彊祥芯降秦靜情傾刑磬橡噙巷沁省陘琴獎醬芹醒餉興慶響幸競親形匠倖鄉講嗆撳象璟槳頃搶想項硎逕境景詳罄擎勁警薔擒行翔禽徑繈享檠型晴絳檣性井像痙勤淨嚮寢鏡庠蔣憬杏敬戕尋釁阱悻姓饗請將相向強	
干	乾竿疳坩甘柑尷桿肝	橄淦幹贛敢榦感稈桿趕	戡看勘刊堪	侃坎看檻瞰勘砍崁	
廾	礦鞏共汞拱	共攻工宮紅蚣恭躬肱功釭弓供貢龔公	輥鯀捆倥孔恐綑滾梱袞	倥琨焜崆錕昆空硿睏髡棍困坤控崑	
弋	屹藝肄軼刈誼囈縊逸佾溢劓疫懿鎰毅義邑億液佚役易羿裔蜴驛弈帟譯翌異益臆腋亦艾曳詣議意繹憶掖浥翳奕一抑翼衣	漪尾咦姨椅壹蟻飴旖誼偯迤栘移以彝夷已遺沂宜咿醫頤伊噫疑乙怡貽揖訑迆蛇矣圯胰儀一衣痍倚依			
弓	共攻工宮紅蚣恭肱躬功供釭龔公	礦鞏共汞貢供廾拱	倥髡琨焜崆坤錕昆空硿崑	輥鯀倥滾梱空袞孔捆睏恐綑棍困控	
才	裁纔財材	蔡采綵睬彩採猜菜踩	柴儕豺	釵拆差	
丑	醜	儔溴綢鯈惆稠酬仇疇抽愁躊籌臭裯	草吵炒	潮嘈巢朝勦糙操超抄晁湊輳槽鈔嘲剿漕曹	不丐
丐	蓋溉鈣概	垓改賅該	咳愒愾慨	愷開剴楷揩凱慨豈	不醜
不	怖簿鈽步埠佈布部	捕步埔簿佈補卜部怖鈽埠哺布			丑丐
中	盅眾仲忠湩鍾鐘衷重終忪種	踵盅仲眾忠鍾衷塚終忪湩腫鐘重塚種	粽肫縱圳樽鬃俊棕屯諄蹤尊綜遵宗從	傯準總肫粽縱圳鬃樽俊棕屯諄蹤尊綜遵准宗從撙	豐
豐	瘋楓鋒峰蜂烽豐諷風封	縫諷逢奉鳳俸馮	棻氛吩紛分芬亨哼	恆痕分汾恨很份狠墳糞焚奮桁忿憤衡橫粉	中
丹	簞擔耽單	誕淡蛋石憚彈撢但啖膽啗疸氮旦擔澹	貪坍探灘攤癱	曇毯覃炭袒痰潭罈彈歎碳嘆譚談探檀坦壇	
之	肢祇織梔枝泜蜘支氏知隻只祗脂芝胝卮汁吱	雉秩幟止蛭志芷值址執祇祉峙治制紙質誌姪稚窒植咫痣智緻滯致置痔摭至摯製輊躑躓直擲知識徵只炙趾指職旨殖	淄錙緇貲咨茲姿孳孜資輜滋諮齜玆髭吱	仔訾字恣紫滓籽漬子孳梓自	尹
尹	癮聽飲縯隱蚓引	夤胤銀鄞印飲因齦茵淫簷音寅垠湮姻陰吟慇氤蔭殷隱霪	養景郢仰穎鞅氧影癢	纓佯瘍洋櫻映颺楊羊央秧應縈鷹漾恙硬蠅煬烊養迎揚營膺嬰嬴昜楹暘陽瑩鍚罌鴦鶯怏徉贏鸚盈英樣鞅螢泱殃熒瑛嚶瓔塋瀛	之
予	盂妤隅娛榆敔宇愚魚圉逾禺禹嶼輿愉褕圄竽蝓雨雩渝覦腴漁語臾於與諛齬噢庾圩餘余瑜俞歟萸羽於虞	瘉澦妤域娛瘀宇馭獄逾峪昱燠褕蝓竽雨雩渝覦預漁迂於語紆與煜齬慾噢芋育餘余俞歟堉鬱豫羽虞毓裕盂禦隅籲嫗榆敔喻愚魚玉欲圉譽禺禹熨嶼輿癒寓愈愉諭圄御谷郁淤腴臾遇諛庾圩聿尉瑜萸於浴	武鵡五毋伍嫵唔鼯巫侮吾憮亡舞誣捂無梧吳蜈蕪午	武汙鵡晤騖巫侮吾悟塢亡誤誣務無吳午五烏毋伍寤戊惡嗚鼯唔嫵於物勿憮霧屋舞兀圬鎢捂軏污梧蕪蜈堊	
雲	紜耘勻筠雲昀芸	韻允員孕熨運隕暈醞慍蘊氳	文亡聞傭王雯紋玟蚊	傭雍蓊湧刎傭嗡文惘甬蛹網瘟用溫忘望鄘永慵紊甕妄邕問俑枉穩恿往擁踴翁魍勇王聞臃吻罔詠湧尢塭泳旺庸抆汶汪輞壅免	互五井
井	頸憬景阱璟警	竟驚涇靖粳睛精勁靜更徑兢晶旌京莖痙鯨競淨荊鏡菁敬經逕境	醒饉緊僅寢儘覲謹瑾省頃請錦	青邢信心燼馨芯秦筋情傾刑縉磬噙沁進陘琴訢芹巾興慶新幸親噤津儘莘形覲倖惺斤星撳氫頃近硎昕今清欣鋅罄矜擎勁蜻襟擒行禽觔鯖侵檠型晴欽性盡金晉勤卿禁僅輕薪嶔杏浸辛尋釁悻姓腥猩	雲互五
互	瓠戶滬楛沍護扈	壺鬍鵠蝴胡琥湖葫囫弧虎許斛瑚惚唬乎戲呼糊忽狐	富腹馥覆賻附副傅復付複赴婦咐父阜賦負駙訃	氟縛匐膚鈇俯府腑夫腐頫蝠紼扶甫幅芾孚弗輻紱福袱浮伏符菔釜敷拂涪撫怫斧孵莆趺輔彿服父麩脯芙伕俘	雲五井
五	武憮舞鵡捂伍嫵侮午	汙晤騖巫吾塢悟亡誤誣務無吳烏毋寤戊惡嗚鼯於唔物勿霧屋兀圬鎢軏污梧蕪蜈堊	雨語與齬宇庾敔噢圉禹予嶼羽圄	瘉澦域妤娛瘀馭獄逾峪昱燠褕蝓竽雩渝覦預漁迂語於與紆煜慾芋育餘余俞歟堉鬱豫毓虞裕盂禦隅籲嫗榆喻愚魚玉欲譽禺熨輿癒寓愈愉諭御谷郁淤腴臾遇諛圩聿尉瑜予萸浴於	雲互井
亢	伉炕抗	糠慷康扛	艮亙槓	墾艮齦肯根跟缸綱岡港啃崗釭肛扛懇槓鋼剛	
仁	壬人兒任	刃衽妊紉稔仞忍軔任荏韌認飪賃	瓤攘仍禳	扔嚷讓攘壤	仄仇僕什仃仍介今
什	舌塒石蝕甚食實時提蛇拾碩十射	攝拭豕恃軾是匙涉溼葉賒獅氏拾虱使設視失蝨豉捨噓捨仕赦噬誓筮施室嗜屍逝屎歙舐麝奢式屍適柿飾奭士詩螫社弒市示試始勢侍世史師濕識矢射事駛釋		賜泗肆廝鷥飼巳伺嗣撕似耜絲色思死四澀祀司圾兕私食塞穡瑟嗇寺駟斯俟姒嘶	仄仇僕仁仃仍介今
仃	叮酊丁盯釘	定酊鼎頂錠訂釘	聽廳汀	廷霆婷聽蜓挺梃停亭艇庭	仄仇僕仁什仍介今
僕	撲撲鋪噗	普埔葡鋪濮樸浦釙蹼樸誧莆暴溥譜瀑脯蒲圃菩璞曝僕匍			仄仇仁什仃仍介今
仇	儔毬綢鯈球裘惆稠酬疇酋愁泅躊籌裯求梂囚	蚯丘邱龜秋溴抽臭丑鞦鰍醜	潮嘈巢樵朝憔晁譙瞧槽嘲喬僑漕橋曹翹嚼	啾巧雀蹺皎嬌廄揪鵲鳩鈔灸竅醮蕉峭九究舊澆餃俏撬舅跤轎狡誚鮫疚橇膠攪韭赳蛟久覺教鞘救悄姣驕窖操超玖糾就僥焦詨角愀輳殼交椒吵柩礁較臼勦敲糙咎酒郊腳抄繳鉸草湊鍬校絞叫矯剿炒翹	仄僕仁什仃仍介今
仍		扔	仁壬人兒任	刃衽妊紉稔仞忍軔任荏韌認飪賃	仄仇僕仁什仃介今
今	襟觔浸斤金矜津禁筋巾	盡饉燼晉緊噤勁僅禁儘覲縉浸謹瑾進錦近	鎗青涇槍心粳馨芯精羌傾鑲漿廂韁訢莖興新親莘疆惺鄉星嗆經氫香頃搶昕清欣驚江鋅睛襄鏘薑腔蜻更兢鯖侵晶旌欽僵京湘鯨卿荊菁輕薪嶔瓖辛姜腥箱將猩相	邢竟牆頸靖信彊祥芯降秦靜情傾刑磬橡噙巷沁省陘琴獎醬芹醒餉興慶響幸競親形匠倖鄉講嗆撳象璟槳頃搶想項硎逕境景詳罄擎勁警薔擒行翔禽徑繈享檠型晴絳檣性井像痙勤淨嚮寢鏡庠蔣憬杏敬戕尋釁阱悻姓饗請將相向強	仄仇僕仁什仃仍介
介	戒芥疥界藉誡解借屆	捷階拮皆桔街截詰節傑桀揭孑頡接碣姊劫櫛解嗟羯訐竭睫偕擷結潔姐傑	蟹切愜駭懈妾竊燮楔洩紲榭邂屜解洩屑怯械卸瀉褻謝契挈鍥	攜協歇切寫邪斜些且挾諧伽蠍鞋偕擷頡茄血勰脅	仄仇僕仁什仃仍今
仄	側	則擇澤賊責怎笮嘖窄咋	浙這蔗鷓宅	遮懾謫赭者轍哲蜇折著摘摺輒螫褶	仇僕仁什仃仍介今
元	緣媛源員原轅園圓援騵猿湲爰袁沅垣	宛院苑媛願淵願冤鴛鳶怨遠	玩丸完汍頑	惋彎灣莞碗蜿腕挽萬宛玩輓晚皖綰豌剜娩婉	允
允	隕	雲韻員運筠昀暈醞蘊氳紜耘孕勻熨雲慍芸	往擁踴魍蓊湧勇刎惘甬蛹臃吻網罔詠湧泳永俑枉輞穩壅恿	擁傭雍翁玟傭嗡文亡聞王臃瘟用溫尢塭忘鄘望雯慵紋紊蚊旺甕妄庸抆汶汪邕問壅免	元
內		餒哪	累擂類淚	累擂壘嫘漯縲蕾磊鐳儡耒羸雷勒	
六	霤餾陸溜	留劉柳泵琉瀏流瘤溜鉚遛硫榴	尿廖燎拗料瞭	寮繚聊潦扭寥撩療妞遼僚嘹燎了暸鈕鳥紐牛忸瞭嬝裊	公兮
兮	攜曦淅悉熹烯禧犀嬉膝行蜥稀希吸溪晰畦析熙釐棲譆谿犧蟋唏晞嘻羲西奚蹊僖	系汐蓆翕戲隙惜習璽徙洗細鰓係媳矽喜息潟夕繫席錫熄歙襲昔檄褶	畸姬畿其璣羈肌犄飢癘雞磯乩幾積唧箕幾奇譏激績期屐機嵇跡勣稽蹟基躋嘰居饑	洎棘疾暨忌祭集脊己騎藉芰劑幾記楫瘠覬紀計級極妓冀戢擊寄輯寂給薊及嫉際幾唧麂繼擠急伋薺吉季圾即稷髻霽技汲吃亟既悸躋籍繫岌濟鯽戟驥	六公
