一,二仄三左旦丁刁下上於兀士幹不天王且丘本甘石百
巳,圯巽包祀巷癌叱乩咄庖抱咆泡炮胞苞起袍鉋熙僎撰潠選
巾,匝布吊帖帕帷市央庸帆希佈簾帛怖帝帥席帳幅帽鈽滿幟幡
干,刊奸汗旱桿肝竿敢罕岸悍捍桿焊銲捨軒稈幹橄
廾,戟朝乾榦斬幹斡廟嘲潮韓十慚嶄漸翰車塹暫鞍聶瀚鏨懾攝囁
弋,式代拭忍惠鳶岱玳貳心戈庖涊軾蕙弒試膩怠殉袋貸愚慈感慰穗黛
弓,引欠弘小子夕久弔又幾了九丑丁乙夷門鬥弛弭弼粥
才,材閉柏柞槐牙皮財木竹杉板析柝株豺粕呀披波坡芽疲被鈹黎
丑,妞忸扭鈕羞疆紐土弓閨角型壬弔王主久冉去夕子小丁九了幾又夷乙裡
丐,沔鈣下亡妄忙忘杗肓芒卡斥玄妃朽盲孩虻茫荒
不,否示壞杯芣甭盃丕平奈宗痞歪炭爾呸坪抨枰胚祟票祭滅禁碳禦
中,兒忠引川仲沖弔丫史巾由甲聿串束鬥肅初盅袂衽袒袖順裡裸
豐,邦彗慧技按蚌梆手十牯峰控捷烽湃鋒拜綁蜂抖抹挖拷搾擰
丹,坍彤臍舟雨月卜帖肪腿舢旁泊船雪腋雯漏幟霄瘺霖霍龍臆臃壟辭霽
之,乏芝泛眨砭久貶欠次吹坎灸炊疚欽飲孓永今閃歜
尹,君伊咿裙窘大屍塚郡啄涿群脅愜琢塚凶夭天太尺戶文父犬乍丈右史尢
予,預豫妤序抒杼野舒澦多侈歿栘夕矛了爹移墅夥
雲,二芸冽耘三紜元示雲竺仁魂壽至蟲乓晉仄室屋套蔭完言些奈宗岸曇一
井,並併姘屏拼胼迸鉼並阱耕摒瓶普媾搆溝構遘廿餅駢
互,沍瓦彙碌錄畏剝瓶氯祿孑表長奴危好佞妞妳侯閂弱辱偎喂喙溺煨綠篆
五,吾伍唔圄悟捂晤梧於本語吁圩宇汙余芋迂竽苯敔笨鼯齬
亢,冗伉吭坑抗沆杭炕幾肌阬返般咒逢骯朵航蓬篷芟疫投股迫跺颯
仁,佞三二竺僵合祭但侖些俞拿會低沅佺倥伍佰丘元雲示全余命盒
什,仗估午佇佗使佬杵倌倥傢儐人缶傘仟值十卒率
仃,短矢叮打汀知釘倚盯矩雉丁訂酊奇枚畋佇汽崎椅畸矮旖錡矣疾寄斃
僕,位佔住儕伉偯仿依赴信倍停人企禽偵卜什仕仙撲伙伐休仲樸佃釙於僮
仇,咦姨胰九夷痍旭侑軌究佑鯈矢俠友丸彆仃枚知畋佈俟倚伽攸矣疚疾
仍,奶扔氖秀乃作孕伋透莠仔仿你戶乍偏僱誘蹂乞
今,令含念貪伐伶岑吟鈐苓筏代伏拎泠俟唸捻鈴冷俊昤玲俯涔羚聆稔黔
介,串佛仲芥界疥患伸尬弗圳釧川攸候條袖片人而亞事佻怫拂沸甽姬訓脩
仄,雁丙一巫二人欠病筮三蒙柄炳准元雲厄示閃厥仁囚八冷
元,二完沅兀阮三雲示髡竺莞仁玩軏梡冠寇光院皖
允,充兒唐康庸劃庚統州禿亮羌兕傭塘搪慷慵中戈山兜列洲班蚤強鄉肆瑭
內,吶鈉丙肉傭柄炳病納榷憊月人佾俎俘胥訥確侑俏陋俱婿盜跚塭媼慍溫
六,交兗冥袞滾商與咬姣校嘀嫡摘滴鉸適鏑卜金狡郊效皎暝嶼舉
兮,朽粵巧誇圬污娉聘虧答叭扒徽騁簽籥佾垮趴胯僭豳
公,錢忪松鍍金鈸鋪戈賤麼突崧翁蚣淞釣貽賊鐮分乓箋勾勺弘伐找針釙淺
冗,肌股亢幾咒胳骰朵舀芟疫帆投麂嵐瘋反凡伉吭坑役抗沆佩杭炕段殷珮
凶,匈兇洶胸大山峽崤酗劬拋崎篡尹夭太天屯巴文父犬出兀右史丈尢已己
分,岔忿盆貧芬份吩扮汾刀叨初粉券氛紛召切招沼昭炤迢賴
切,砌比匕叨初貂能仳妣批沘枇毗刀分旨屁庇昆頃招沼昭炤迢紕岔券忿
刈,劃刖剎釗刊刑判利刪別刺制削剌剩劑列刎刨刷到刮剁則剖剛副劃
勻,勾勺冰均昀鈞怡茨筠匍次冶凍准憾藏凋妁杓灼芍怵惦釣慷慵贓
勾,勺怡勻惦匍憾心妁杓灼芍怵釣慷慘慵戈忪句旬甸忖均怯昀的鈞愧
勿,忽刎囫吻易物惕惚錫必蜴賜踢泌剔鉍卑怕笑笮愧
化,仳比叱匙傾花仙佗妣批沘枇毗匕它尼屁庇昆北此牝能紕靴
匹,屍層金叵四匝司匡匣穴尿淦鉛匠屆公尼忪屈居松沿屎屏屑展針釙釦鈿
午,什杵缶仗估傘十人佗佇卒佬使倥率許缺啕悴掏淘淬缽萃萄搖瘁摔榣遙
升,昇陞廿竹飛血笠箕箭簧卅壬夭井戶牛千冊乍世必戊才甘白皿禾立匕刀
卅,辛幸畢芰芾苦南圉倖宰悻梓莘華嗶鋅廿十苧萋著楛葫蕙
卞,這卜適汴遲亢玄犀遊屬僕撲樸釙冬充亥哀棄京外迂迆迅卦赴迪迥迫迨
厄,卮危呃扼己已氾妃杞配卷桅脆軛忌犯紀記跪范凹改詭
友,又夷九仇奴旭咦姨桑胰痍反叉丸疚瘓廷沒究夜怪建疫候隻啜雙
及,伋吸圾岌汲級反閣冬各扳阪板返殼鈑皮又幾咚叛咯客恪洛皈降格烙疼
反,冬各扳板返鈑阪咚叛咯客恪洛皈格烙疼胳略逢鉻
壬,告任呈妊衽丟廷浩荏淫逞造燻薰先庭挺望梃皓程窖聖靠
天,昊癸爰揆葵嚴大一助侯睽闋媛堠喉援湲暖煖篌鍰
夫,替伕扶芙鈇失輦推規承佚迭趺手人拖牧拾拴挫撫麩攆
太,宏汰肱雄叉閎釵篡戈大疣丸倏夭天凶文尹父犬夕寸尢右史去弋戊丈矢
夭,吞忝妖沃笑奏祆添喬契揍湊大竹劣喫楔僑舔嬌橋鍥
孔,孑孜吼乳孤孩孫孺遜了菰蓀兀岳危扎仙札兒汕弱預侯桅脆溺孓光元亨
少,炒炸燻火妙吵抄沙杪秒鈔熄燠炎竹尖劣省娑莎眇砂祆烙祚煌穌
尤,疣就嵇魷犬尢疝稽伏吠畎蹴畚戾突哭臭莽袱獻
尺,呎咫家屍人敖雇傢嫁熬放於傲嗷僱肇稼遨聱邀
屯,芻囤沌肫鈍盹匈頓縐趨洶純胸心山岱飩噸包愷鄒雛
巴,把吧邑杷肥芭疤笆色爸浥耙爬扈梔搗葩靶日曰山皂邕琶
幻,幼以樂吆玄幾弦炫鉉爍鑠似拗姒糸奚畜茲藥始眩絃嘰機礫黝窈關
廿,艾昔芯苗弁卉戒卅升井冊甘皿世立並曲共羊羋
弔,引阡阱阻限陌陳邢邦那防阮阪阬祁邱陀阿附耶郎郁陣陡陝除陞陪陸陴
引,弔弓中弘仲阡沖邢邦那阱祁邱阻耶郎郁限陌陳鄭鄴川剃蚓弟第
心,勾句勺旬甸志沁忠芯思屯必弋也世勻匈忙忖忸忪快怯怕怡怛恨恢悄悚
戈,弁台戎戒床勾勺公弘麼伐找太犬戊弋寸夕去鬼
戶,乍肩怎妒作戾咋扁昨柞炸笮雇房方成乃所砟祚窄扈
手,扎撲扣找夫牛豐用半年羊耒聿羋打扒托抄抖技扶抉扭把抆拉拌拄抹拒
扎,拙摧指攜手毛甩把揣撬山撲札仙扣汕牝兒找批尾
支,技岐妓吱枝肢芰求取歧翅梂娶豉最鼓水十屐救球撮蕞
文,吝抆汶玟紊虔閔紋蚊憫斕大卜迦逖斑雯斐交送逛遼
斗,抖枓科料魁蚪斜斛斡卜十連斟蝌辛卓迅漣蓮鏈
斤,欣匠折沂圻聽昕析芹近斧所斫祈浙斬淅逝斯晰
方,於放施旅族旎仿妨坊枋房肪芳旋旌防旁旗旖彷紡倣淤游傍菸滂瘀遊榜
日,曰昌旦明杲旬汨昔杳晶巴白早百艮門旱旺昊昇昧昨昱冒晏倡娼唱暗
曰,日昌旦明杲旬汨昔杳晶巴白早百艮門旱旺昊昇昧昨昱冒晏倡娼唱暗
月,朋妥肚炙采有明胃內丹巾用皿目冊冉且肖受岡冗同刖肋肌孚肝肘爭周
木,林札樸杏杜杳傑困休沐床宋呆杲采森本未末才寸子禾於也米耒束東果
欠,閃久灸疚閥之弓孓坎吹炊欽人仄乏芝癸煞崁嶔閤次玖柩砍畝歌撳
止,肯歧歲企扯址芷武祉啃趾正步遣焉怔涉症逃賦歷
歹,死列殆殉殘歿殃殊殖殮殯夙殤例洌屍咧殲夕丁
毋,車貫單固軋軍庫連憚彈嬋簞田十個涸慣箇實錮禪闡
比,仳沘批妣枇毗庇屁昆能紕匕化切叱牝北此頃尼它旨皂
毛,毯毬尾毽娓耗撬橇耄牛牝麾氅氈扎髦牟件牢牡看屘毫
氏,氐昏衹低泜抵底柢祇胝婚牴砥祗紙舐詆邸民衣她妁忘
水,汁汝汕沐汨沖沁淦尿支汀氾汛汗汙池汐汪決汰沌沃汴汶沙沛沽沾沫法
火,炎少尖灶灰伙炙傑疢不半米肖灼炒炊炬炯炸烊烘淡啖痰燃燻
爪,攸條抓從笛筆簫脩八爬徐篠川刎修倏袱絛褓鯈庚
父,爸交斧釜爹爺姣咬校鉸大金究鈽狡郊效皎奕絞蛟傚跤較錡鮫
爻,餚痍希痂大崤疾樊駁左灰有尖艾疝疢瘓療唏烯晞
片,版牌牒牘牖串亞川堊啞惡介圳患釧止斤弗工蟲北兆甽邶徘袖氬順罪蜇
牙,邪雅鴉呀芽穿蚜琊訝辱才撐褥耨材畏表長杗佞柏柞案閉偎喂煨槐
牛,牡牟牝件牢牠牧牯看牲毛生失我物拜特湃牴犄犒犢
犬,伏吠畎尤戾突臭哭莽袱獻畚為狀拔疣淚捩唳偽溴嗅鈸默
王,玨弄玥匡全玖汪玟玫枉旺玷珊珀班珪理琳斑瑰
丙,柄炳病陋內仄吶鈉肉巫傭蒙佾俎俘胥准納訥雁筮榷確憊
世,洩喋葉惜紲碟廿心屜虛蝶牒諜慌葬噓墟冊必甘皿立井共卅升屯並曲羊
丕,呸胚不示否壞杯芣歪平光炭奈宗甭盃痞蒜爾二坪抨恍枰洸炳晃祟胱票
且,助咀姐宜沮疽亙狙阻俎砠祖租粗同肝具直真恆勗組蛆鋤疊
丘,乒乓岳卸邱兵仁全合余佰啣蚯人一伍佞何汽侖佺捨俞哈恰拾拴洽癸拿
主,住拄注柱往蛀土卜註逵達駐進遠遨撻冉佔去立丹丑六壬文鬥王下上亡
乍,戶肩怎作妒咋戾扁昨柞炸笮雇房成方乃所砟祚窄扈
乏,芝泛眨砭之貶麼久欠簌笞箋鬼飲灸疚箴簾次吹坎炊欽歜
乎,悉釉釆呼釋竊米蟋咪屎迷狄籽敉料掬粒粗粕粥粵粱
以,似幻姒樂幼吆瓜玄幾呱弧狐弦炫鉉爍鑠糸奚畜茲藥
付,吋忖村肘咐府符休侍附寸守寺封射尉對俯紂傳駙辱專尊
仔,好俘子囝字孚李籽你存孝孛季孱屘錳孕乞仍休浮猛蜢享孟厚學
仕,佳隹侍倖堆唯惟推淮椎進錐催僥僖儔坐人雀售崔焦集
他,地她弛池迆拖迤也牠施佝訑馳休忖快悚柒付代仔仙仕僕什伙伐仲佃人
仗,杖佬什丈估使午老者考孝杵值豬佇佗倥酵做儲缶宏宥傘
代,伐玳弋伏拭式岱今念偽傭弒試軾袋筏貸黛伶俟傖膩令含忍食倉惠
令,侈今爹栘含念多伶移夥苓貪拎泠鈴伐冷昤玲羚聆
仙,化催人山花仕札什僕伙伐休仲扎汕佃兒仳乞岳
仞,紉軔韌刃傀伊份刀鬼侷倀倨超傷麼叨伐初俄塊愧槐伺倔偃召分蒐
充,允亮統棄兒迨卞率述遮玄禿育庚母卜唐庸康劃州流梳
兄,況兗祝兌克侃競悅脫嗅銳剋息稅閱呂叭吒呈吮咋咱蛻兢
冉,苒再坍玥媾搆溝構稱遘月土珊堝壺膺髯講購攜
冊,皿刪姍柵盅血侖孟盂扁珊盃益盍盔盞盟監岡朕胼
冬,各反疼咚返扳板終逢鈑客鼕阪叛咯恪洛皈格烙胳略鉻
凹,兕巨已己氾厄妃忌杞拒炬苣鉅凸局尼屆屈卮犯危呃扼改卷范矩
出,咄屈拙茁倔祟崛掘絀窟黜山微親覽撬橇櫬襯攬欖
凸,巨拒炬苣鉅凹局爭矩協侷荔崢掙淨渠脹距箏錚
刊,干刑劃刖刈釗列判刪利刺到刮制剎削剌剋剜剝副割剴剩劃劂劍劊劑
加,咖力伽迦茄痂脅叻勰叵另肋男架嘉幼劫助協劣勇荔袈筋賀奩
功,攻工巧汞助項勤貢扛江槓肛勁釭脅叻肋劻勒勘佐
包,劬刨咆庖抱泡炮胞苞袍鉋砲跑鮑巳皰雹飽句匏
匆,勿囫吻忽易必鬼刎物惚惕愧錫麼泌剔射傀塊鉍槐蒐蜴賜踢魄
北,邶兆此比叱化能仳妣批沘枇毗雌屁庇昆死牝匙佻姚挑洮桃紕逃匕它尼
匝,砸巾布吊簾帛帝帥刷帑啻央市庸佈希帖帕怖帟席帷涮鈽幣滿
仟,侏千阡俾任件作伯傀入什佚俄跦鍛朱舌卑係倪踵佾倭緞
半,拳判伴卷券姅拌胖畔眷叛滕豢倦圈捲絆勝手火賸
卉,奔寞寒賁塞寨搴十廿弁穴安宋戒寬垂它字宇守宅宏弄牢宜宙宥宰宵賽
卡,下上斥迂此正丐卞言坼定拆是柝訃柴迺疵逗訾逼齒穢
占,乩佔店拈沾帖玷砧站惦圖諸京貼點口卜亨享哀亮亭高偯掠涼逞景晾豪
卯,泖柳鉚茆卿聊留溜榴遛瘤叩印卹孵劉貿籀即卸卻餾霤
卮,厄危呃扼配卷已己氾犯妃杞桅脆記軛忌紀跪范範改梔詭
去,劫怯法盍玉丟砝琺嗑溘蓋戈土城埔埃域塘瞌磕闔
可,何呵坷奇河柯苛阿倚寄崎荷椅畸錡啊婀蚵犄琦軻
古,胡固估咕姑居沽故枯苦鈷舌牯個涸湖辜楛葫箇錮
右,若祐匿偌惹君吝吞佑知智口大各癡裙癌郡群慝暱諾
召,刀招沼昭炤迢叨紹貂超韶拐初枴詔照吩邵券岔忿芬刃切份扮汾
叮,打汀呵訂釘丁仃盯吁咧酊呸哂佇汽可歹或苧呀哽啄啞訶呃唔喱啊
叩,卻印即卸叼叨卯呎卹唧啣腳命捌砸嗎呢仰抑迎哪孵匝昂節
叨,初拐枴吩詔刀分切招沼昭炤迢召叩叼呎貂岔券忿
叼,刁伺叩叨呎喔虐彗侵浸慧婦掃長雪詞嗎呢歸司匡帚
司,磊石巖拓匡泵刁伺祠叵峒恫洞桐砸胴銅筒後言矽哈恰拾洽砂砍研砝砠
叵,區加局屍咖司口伽茄迦痂句回匹嘔召君居品侷架扈熙
叫,吆糾赳呶收妯民吳叩吐壯妝呷戕喙嘯嘰嚷口品
另,叻咖男脅力肋劣勇茄痂加伽迦努荔幼劫助劬協
只,咫口金吩興哄右古占石六共父小巳丫叵句四回匹台穴吉吐如公扣呆杏
史,吏使中大駛央袂陝墮薇右甲由矢夷天太夭凶尹弔文父犬聿尢巾丫串丈
叱,比化呢仳妣批沘枇毗砌匕它尼屁庇昆北此牝能詣紕
台,或怠名哉苔笞始怡抬治胎迨感戈冶店國茗口域銘
句,包心佝拘枸苟鉤口咆怡叵回勾旬勺甸庖抱泡狗品炮胞苞袍煦鉋雊憚
叭,扒趴吒咋佾八咳呈聽呼呱咱哦啤喙唾嗚鳴咯噱噬噢啾兄呂兮筏
叻,另咖肋力男脅加幼劫助劬伽迦茄痂功劻咦觔勒勛勸協劣勇荔
四,泗田金囚回因匹困異黃囝囤固囿穴思胃淦鉛鈿
囚,泅畋田界人四因回困囝囤固囿仄欠佃八思胃囫甸圃圉仙仕以什仲僕伙
外,夕舛多名汐侈栘弘移夥爹矽飧銘歹丸凡令宛茗麥夤
央,盎怏泱映英鴦秧殃瑛鞅巾匝布吊然市庸肋肱奐盅胰奧襖
失,佚迭秩跌軼夫牛牧伕件牟扶牢牡芙替鈇生毛我推
奴,又娛好妞怪吳弩怒隻雙馭妳挺健梃腱鍵努帑庭
奶,扔仍秀乃氖妒孕透莠奴好妨妞乍戶娩妳誘妤作咋昨柞炸肩怎柔笮
孕,乃孱奶扔仍字孚李秀季遊游存氖孝孛學莠仔好囝透
它,尼比佗沱屁庇昆匕叱化仳妣批沘枇陀毗皂紕能蛇跎
尼,屁它比妮呢怩庇昆匕叱化仳妣批沘枇毗皂紕能
巨,拒炬苣鉅凹凸局矩侷渠距屍協荔兕跼乍尺戶尹耳已己力刀刁叵匹尿釁
巧,功朽項工攻汞兮圬污誇貢扛江槓肛釭粵佐娉虧
左,奈痘奇病誇痞大爻二症疳疽疸痙一旦有灰疝疢奭三仃短
市,柿鬧巾匝布吊帝央止庸肯盅迪逮希佈簾帖帕帛怖帥席帷啻啼蒂鈽滿
布,希帑吊幣佈怖鈽巾匝簾帛帝帥唏晞烯帟啻幕刈稀
平,抨坪枰砰秤萍不評示壞否杯芣丕炭宗奈甭盃痞
幼,拗窈劫幻黝叻以肋奚脅勢助劾勘力另男樂功劬劻勉勃勁觔動勒勛勦勤
弁,戒度庶庠席廣拚械廉蔗戈廿渡摭遮鍍台卉戎床棄蓆
弘,夕泓外汐舛強歹弓凡丸令名殘戈引汎汍伐找矽釩殆銘瓦矛予甬多宛桀
弗,費佛怫拂沸彿氟紼串事鬥剌喇介患刈刖劃川釗袖夢
必,泌鉍勿祕秘密怕愧匆囫吻忽易心竹性虎恬恤愀瑟蜜懊
戊,威鹹茂戍成戌戚牟吮城減喊滅戈竹庾參幾歲槭
打,汀叮釘丁仃盯拓訂酊扛抨汽佇可歹苧振鄞扼捱搓擂生表青差
扔,奶仍秀乃氖揉孕透莠扭乍戶挽捩搾誘抒妒作咋昨柞炸拯換挺肩怎柔笮
扒,叭托抓拍趴佾八扳折拆括搗插捶播據揪兮契筏
撲,抖抆拉拄拈擠抗掠扯掉摘掖接搞摔擅擁攘撻撾手
斥,拆坼柝下訴卡斤戌後竺竿竽卮正丐匠折沂狂圻聽昕析定芹近是威垢鹹
旦,旱昊查疸量但旺怛坦晅袒是宣晝日曰垣曬桓昌二閂晨一捍悍桿焊湯暘
朮,怵述麻穴戎摩空穹術嘛麼磨糜魔求甫弒麾嬤蘑
本,苯韋笨五桿杯枉伍吾缽偉圍葦違木一朽槓柯柄枰桓幃極闈韓
未,宋沬妹味昧朱魅守侏株茱銖木十寐珠硃宇字狩案栽殊蛛跦辣
末,沫抹茉秣杖枝枯木十棲楮桿杵枓梡棕植棺楠搾榕糊穗檳檸
札,秈木杞杷林相山仙樸汕扎杜兒枇森乩材村杖桿杓枕枝杯枉杵枚枓杪柱
正,政怔症歪征証整焉止嫣企扯址武肯芷遣步下歧祉逃啃
母,每拇姆毒侮海悔梅晦莓誨霉育敏毓嗨迨流梳堉唷熾
民,泯抿岷氓眠湣愍氏叫她妁吆忘呶偯喪氐吳昏衹襄
氐,昏底低泜抵柢胝牴砥祗衹詆祇婚邸紙舐式二些
永,泳漾樣詠丞之今岑吟拯鈐蒸矛予令乏多含念芝郎
汁,沛沽沬沱淒渚淙渲滓溶潸濘濱瀉瀋湖潮水汗汛沫洱滇演十
汀,打叮河釘汽丁仃盯汗汙汪洌訂酊江沍洹佇可歹苧
氾,妃杞范已己厄犯泥洱紀卮危忌卷記配汕改扼呃凹
犯,氾妃狄杞狂狎狙狗狠狽狸猓己已卮厄狐狡紀狼狹記配猶狷猖猙獗危卷
玄,畜弦炫鉉吆眩絃樂茲奚蓄藥以幻似姒舷爍鑠麼關亡玆拗嘰機礫
玉,瑩去王璽班琅球瑭璧匡全汪弄玥法枉旺怯砝瑯瑰
瓜,弧呱狐孤菰瓤瓠瓢以瓣似姒系係玄幻吆樂縣懸
瓦,瓶瓷甄甌甍甕互夕歹弘沍妤外汐舛多名矽畏辱
甘,某坩柑疳鉗虛媒煤箝芋芣其甚垂甜蚶嵌墟噓廿一芸苛華酣黃廣蕾
生,甥性姓牲星笙產惺腥猩鏟牛旌甦拜猜隆醒牟件牡牢青
用,傭甩甭甬憊月手俑湧桶恿通痛備胖皿目半冉冊且牛羊耒聿年夫內丹豐
甩,用扎傭毛拙甭目甬牝尾指摧憊月手山批俑湧耗娓毫桶恿通痛毯備撬氅
田,四囚因回困胃思甸佃苗鈿由甲毋曲裡東果囝囤固囿男畎畏畋畔畦異
由,胄冑油抽岫宙妯柚迪笛袖婁鈾申曳裡裸更伸奄坤呻洩拽軸釉
甲,匣押呷柙胛鉀申狎曼睪署蜀閘賣鴨禺伸坤呻萬罷
申,伸坤呻暢砷神紳由甲婁摟屢嘍樓簍褸鏤匣油抽押岫宙妯呷柚柙胄胛迪
疋,胥蛋婿楚旋漩礎走足進嚏久欠迄弦定夜卒是赴迤促捉陡途閔
白,泉皂伯的泊拍怕帛皇柏迫皋鉑魄帕皈珀皎粕啪皓腺箔
皮,皰頗波披坡疲被鈹陂玻破菠板彼皴詖跛皺格簸
皿,冊刪姍盅柵血盂孟侖盃珊扁益盍盔盞盟監岡胼朕
目,盯盹相眇苜冒眼睏睬睢瞄瞿自貝盲省眉看盼眩眠眷眶眸湘廂睫睦睞睹
矛,矜務茅橘譎多侈栘霧予夕爹移夥懋弘抒序妤杼
矢,知仃矣枚畋矩疾雉收攸改玫牧故俟敉挨埃唉敝敖啟敕短敞敢散矮癡敬
石,磊泵司矽拓巖砂研砍砧砝砠砟硝硼碓歌後言洞洽斫拾恫恰峒哈砰砷砸
示,芣二宗奈祟票祭禁禦不壞杯三元雲否痞齋竺崇仁淙捺棕
禾,私秈委和秋香番禿利季科秒秣租秘稍黍稚稞秉秀秤秦秩秧倭稈程菌萎
穴,容空穹朮十麻痲金卉安究宋簾突窄窠怵述倥控崆腔潸鎔
立,妾音位泣拉垃昱站笠章童意辛倍粒涪接竟培啦菩焙煜暗靖
丞,拯亟蒸永二汗汙沅汪汀涯左旦閂三污泳極式空差竺一江仁河洹涇溼
丟,去壬任呈告妊怯法衽玉等劫廷浩盍砝荏淫逞造燻薰
乒,丘乓岳卸邱兵全余合仁佰啣蚯少答御氖捨癸原氣氧氦氤塗宿侖氛俞拿
乓,丘乒岳卸邱兵全余雲合至蟲伐冶仁佰戕倒啣蚯
乩,占佔拈沾諸店巳帖玷砧站訕惦選圖圯叱咄貼點包京亮
