# 笔划字典，万：笔划是横(h),折(z),撇(p),组合起来是hzp
一	h
厥	hpnphzsppzpn
厦	hphpszhhhpzn
厨	hphszhnphhsn
厩	hpzhhznhzpz
厫	hphhshzpphpn
厷	hpzn
厹	pzzn
厺	hpnzn
去	hshzn
厾	zhshzn
县	szhhhzn
叁	znhpnhhh
参	znhpnppp
又	zn
叉	znn
及	pzn
友	hpzn
双	znzn
反	ppzn
发	zpznn
叔	shhspnzn
取	hsshhhzn
受	pnnpnzzn
变	nhsspnzn
叙	pnhhspnzn
叛	nphhpppzn
叞	zhphhspnzn
叟	pshzhhszn
叠	znznznnzszhhh
口	szh
古	hsszh
句	pzszh
另	szhzp
叧	szhzp
叨	szhzp
叩	szhzs
只	szhpn
叫	szhzs
召	zpszh
叭	szhpn
叮	szhhs
可	hszhs
台	znszh
叱	szhpz
史	szhpn
右	hpszh
叴	pzszh
叵	hszhz
叶	szhhs
号	szhhz
司	zhszh
叹	szhzn
叺	szhpn
叻	szhzp
叼	szhzh
叽	szhpz
叾	zsszh
叿	szhhsh
吀	szhphs
吁	szhhhs
吂	nhzszh
吃	szhphz
各	pznszh
吆	szhzzn
吇	szhzsh
合	pnhszh
吉	hshszh
吊	szhszs
吋	szhhsn
同	szhszh
名	pznszh
后	pphszh
吏	hszhpn
吐	szhhsh
向	pszszh
吒	szhphz
吓	szhhsn
吔	szhzsz
吕	szhszh
吖	szhnps
吗	szhzzh
吘	szhphhs
吙	szhnppn
吚	szhzhhp
君	zhhpszh
吜	szhzshh
吝	nhpnszh
吞	hhpnszh
吟	szhpnnz
吠	szhhpnn
吡	szhhzpz
吢	nznnszh
吣	szhnznn
吤	szhpnps
吥	szhhpsn
否	hpsnszh
吧	szhzshz
吨	szhhzsz
吩	szhpnzp
吪	szhpspz
含	pnnzszh
听	szhpphs
吭	szhnhpz
吮	szhznpz
启	nzhpszh
吰	szhhpzn
吱	szhhszn
吲	szhzhzs
吴	szhhhpn
吵	szhspnp
吶	szhszpn
吷	szhzhpn
吸	szhpzn
吹	szhpzpn
吺	szhpzzn
吻	szhpzpp
吼	szhzshz
吽	szhphhs
吾	hszhszh
吿	phhsszh
呀	szhhzsp
呁	szhpznh
呃	szhhpzz
呄	zphsszh
呅	szhnhpn
呆	szhhspn
呇	szpnszh
呈	szhhhsh
告	phshszh
呋	szhhhpn
呌	szhnnhs
呍	szhhhzn
呎	szhzhpn
呏	szhphps
呐	szhszpn
呑	phpnszh
呒	szhhhpz
呓	szhhssz
呔	szhhpnn
呕	szhhpnz
呖	szhhpzp
呗	szhszpn
员	szhszpn
呙	szhszpn
呛	szhpnzz
呜	szhpzzh
呡	szhzhzhz
呢	szhzhppz
呣	szhzznhn
呤	szhpnnzn
呥	szhszshh
呦	szhzznzp
呧	szhpzhzn
周	pzhshszh
呯	szhhnphs
呰	shshpzszh
呱	szhppznn
呲	szhshshpz
味	szhhhspn
呴	szhpzszh
呵	szhhszhs
呶	szhzphzn
呷	szhszhhs
呸	szhhpsnh
呻	szhszhhs
呼	szhpnphs
命	pnhszhzs
呾	szhszhhh
呿	szhhshzn
咁	szhhsshh
咂	szhhszsz
咄	szhzsszs
咅	nhnphszh
咆	szhpzzhz
咇	szhnznpn
咈	szhzhzps
咉	szhszhpn
咊	szhphspn
咋	szhphshh
和	phspnszh
咍	szhznszh
咎	pznsnszh
咏	szhnzzpn
咐	szhpshsn
咒	szhszhpz
咔	szhshhsn
咕	szhhsszh
咖	szhzpszh
咘	szhhpszs
咙	szhhpzpn
咚	szhpznnn
咛	szhnnzhs
咜	szhnnzpz
咝	szhzzzzh
咞	szhhhps
咠	szhhsshhh
咡	szhhsshhh
咢	szhszhhhz
咣	szhsnphpz
咤	szhnnzphz
咥	szhhznhsh
咦	szhhzhzpn
咧	szhhpznss
咨	nhpzpnszh
咩	szhnphhhs
咪	szhnphspn
咫	zhpnszhpn
咬	szhnhpnpn
咭	szhhshszh
咯	szhpznszh
咱	szhpszhhh
咲	szhnphhpn
咳	szhnhzppn
咵	szhhpnhhz
咸	hphszhzpn
咹	szhnnzzph
咺	szhhszhhh
咻	szhpshspn
咽	szhszhpnh
咿	szhpszhhp
哀	nhszhpzpn
品	szhszhszh
哂	szhhszpzh
哃	szhszhszh
哄	szhhsshpn
哅	szhpzpnzs
哆	szhpznpzn
哇	szhhshhsh
哈	szhpnhszh
哉	hshszhzpn
响	szhpszszh
哎	szhhsspn
哏	szhzhhzpn
哐	szhhhhshz
哑	szhhssnph
哒	szhhpnnzn
哓	szhhzphpz
哔	szhhzpzhs
哚	szhpzhspn
哜	szhnhpnps
哝	szhnzpzpn
哞	szhznphhs
哟	szhzzhpzn
哠	szhphshszh
哢	szhhhshhps
哣	szhhszhnph
哤	szhhpzpppn
哥	hszhshszhs
哦	szhphshzpn
哧	szhhshpspn
哨	szhsnpszhh
哩	szhszhhshh
哪	szhzhhpzs
哭	szhszhhpnn
哮	szhhshpzsh
哯	szhszhhhpz
哰	szhnnzphhs
哱	szhhsnzzsh
哲	hshpphsszh
哳	szhhshpphs
哴	szhnzhhzpn
哺	szhhszhhsn
哻	szhszhhhhs
哼	szhnhszhzs
哽	szhhszhhpn
哾	szhnpszhpz
唅	szhpnnzszh
唆	szhznpnpzn
唇	hphhzpnszh
唏	szhpnhpszs
唐	nhpzhhsszh
唑	szhpnpnhsh
唒	szhhszpzhh
唔	szhhszhszh
唛	szhhhshpzn
唝	szhhshszpn
唠	szhhssnzzp
唡	szhhszpnpn
唢	szhsnpszpn
唣	szhpszhhhz
唤	szhpzszhpn
唧	szhzhhznzs
唨	szhzsszhhh
唩	szhphspnzph
唪	szhhhhpnhhs
唫	szhpnhhsnph
唬	szhshzphzpz
唭	szhhsshhhpn
售	psnhhhshszh
唯	szhpsnhhhsh
唰	szhzhpszsss
唱	szhszhhszhh
唳	szhnzhphpnn
唵	szhhpnszhhz
唶	szhhsshszhh
唷	szhnhznszhh
唸	szhpnnznznn
唺	szhszhsshpn
唽	szhhspnpphs
唾	szhphshsshh
唿	szhpzppnznn
啀	szhhphshhsh
啁	szhpzhshszh
啂	szhpnnpzshz
啃	szhshshszhh
啄	szhhpzppnpn
啅	szhshszhhhs
商	nhnpszpnszh
啇	nhnpszhsszh
啈	szhhshnphhs
啉	szhhspnhspn
啊	szhzshszhs
啌	szhnnzpnhsh
啍	szhnhszhzsh
啐	szhnhpnpnhs
啑	szhhzhhshpn
啓	nzhpphpnszh
啕	szhpzphhszs
啗	szhpzpshzhh
啘	szhnnzpznzz
啛	szhhzhhszph
啜	szhznznznzn
啡	szhshhhshhh
啣	szhphhshshzs
啤	szhpszhhphs
啥	szhpnhhsszh
啦	szhhshnhnph
啧	szhhhshszpn
啨	szhhhshszhh
啪	szhhshpszhh
啫	szhhshpszhh
啬	hsnphszszhh
啮	szhshshpnzs
啯	szhszhhshnh
啰	szhszsshpzn
啵	szhnnhzpszn
啷	szhnzhhznzs
啸	szhzhhspspn
啻	nhnpnzszsszh
啼	szhnhnpnzszs
啾	szhphspnnppn
啿	szhhsshhhpnz
喀	szhnnzpznszh
喂	szhszhshhzpn
喃	szhhssznphhs
善	nphhhsnphszh
喅	szhszhhnhnph
喆	hshszhhshszh
喇	szhhszhspnss
喈	szhhzpzpszhh
喉	szhpszhphhpn
喊	szhhphszhzpn
喋	szhhsshzhspn
喏	szhhsshpszh
喐	szhhpszhhzs
喑	szhnhnphszhh
喒	szhpznsnszhh
喓	szhhszsshzph
喔	szhzhphznhsh
喖	szhhspnhsszh
喘	szhszshpszss
喙	szhzzhpzpppn
喛	szhpnnphhpzn
喜	hshszhnphszh
喝	szhszhhpzpnz
喟	szhszhshszhh
喧	szhnnzhszhhh
喫	szhhhhszphpn
喱	szhhpszhhshh
喳	szhhspnszhhh
喵	szhhssszhsh
喷	szhhshssszpn
喻	szhpnhszhhss
喽	szhnphspnzph
嗄	szhhpszhhhpzn
嗅	szhpszhhhhpnn
嗇	hspnpnhszszhh
嗍	szhnphzsppzhh
嗏	szhhsspnhspn
嗐	szhnnzhhhsszh
嗑	szhhshznszssh
嗓	szhznznznhspn
嗔	szhhsszhhhhpn
嗖	szhpshzhhszn
嗗	szhszznzszhh
嗛	szhnphzhhsspn
嗜	szhhshppzszhh
嗝	szhhszhsznphs
嗞	szhnphzznzzn
嗟	szhnphhhphsh
嗡	szhpnznznhznh
嗢	szhszhhszssh
嗣	szhszhsszhszh
嗤	szhzsshszhshn
嗥	szhpszhhhpnhs
嗦	szhhsnzzznspn
嗧	zpszhpnhszhss
嗨	szhnnhphzznhn
嗪	szhhhhpnphspn
嗫	szhhsshhhznzn
嗬	szhhsspshszhs
嗯	szhszhpnhnznn
嗳	szhpnnpnzhpzn
嗷	szhhhshzpphpn
嗸	hhshzpphpnszh
嗺	szhszspsnhhhsh
嗼	szhhssszhhhpn
嗽	szhhszhspnpzpn
嘃	szhnhpzhhszhhs
嘅	szhzhhznhzpz
嘈	szhhszhsshszhh
嘉	hshszhnphzpszh
嘍	szhszhhszhszph
嘎	szhhpszhhhhzpn
嘖	szhhhshszhhhpn
嘘	szhshzphzssnph
嘙	szhnnhzpsznzph
嘚	szhppsszhhhhsn
嘛	szhnhphspnhspn
嘞	szhhsshszhhszp
嘟	szhhshpszhhzs
嘬	szhszhhhsshhhzn
嘭	szhhshszhnphppp
嘱	szhzhppszhszshn
嘲	szhhsszhhhspzhh
嘴	szhshshpzpzpzhhs
嘶	szhhsshhhpnpphs
噓	szhshzphzsszshh
噘	szhhpnphzsppzpn
噜	szhpzszhshhszhh
噢	szhpsznphspnhpn
器	szhszhhpnnszhszh
噩	hsszhszhhszhszhh
噪	szhszhszhszhhspn
噫	szhnhnphszhhnznn
噬	szhphnphnhspnpnh
噶	szhhssszhhpzpnz
噻	szhnnzhhsshpnhsh
噼	szhzhpszhnhnphhs
嚁	szhznhznhpsnhhhsh
嚎	szhnhszhnzhpzpppn
嚓	szhnnzpznnznhhspn
嚔	szhhsnzszhshznshpn
嚕	szhpzszhshnnnnszhh
嚗	szhszhhhsshpnsnhpn
嚯	szhhnzsnnnnpsnhhhsh
嚷	szhnhszhszhhhsshpzpn
嚾	szhhssszhszhpsnhhhsh
囗	szh
囚	szpnh
四	szpzh
囜	szznh
囝	szzshh
回	szszhh
囟	pszpnh
因	szhpnh
囡	szzphh
团	szhsph
団	szhsnh
囤	szhzszh
囥	sznhpzh
囦	szszpnh
囨	szhpsnh
囩	szhhznh
囪	pszppnh
囫	szpzpph
囬	szsshhh
园	szhhpzh
囯	szhhshh
困	szhspnh
囱	pszpznh
围	szhhzsh
囵	szpnpzh
囷	szphspnh
囸	szhshshh
囹	szpnnznh
固	szhsszhh
国	szhhshnh
图	szpznnnh
囿	szhpszhhh
圃	szhszhhsnh
圄	szhszhszhh
圆	szszhszpnh
圔	szhshznszsshh
土	hsh
圢	hshhs
圣	znhsh
圤	hshsn
圦	hshpn
圧	hphsh
在	hpshsh
圩	hshhhs
圪	hshphz
圫	hshphz
圬	hshhhz
圭	hshhsh
圮	hshzhz
圯	hshzhz
地	hshzsz
圲	hshphs
圳	hshpss
圴	hshpzn
圶	hpnhsh
