汉字	同音同调	同音异调	近音同调	近音异调	同部首同笔画数
几	畸姬畿其玑羁给肌犄脊己饥疠鸡矶乩唧积箕麂几挤奇讥激绩期屐机嵇迹𪟝稽迹基跻叽济戟居饥	洎棘玑羁疾暨忌肌祭集脊己骑藉芰鸡矶乩剂积几记绩期机屐楫瘠迹嵇觊纪迹基计级极居妓冀畸戢姬畿其击寄辑寂给犄蓟饥及嫉疠际唧箕麂继急伋挤荠奇吉讥激圾季即稷髻霁技汲稽𪟝吃亟既悸跻籍系岌叽济鲫戟骥饥	携烯嬉膝妻玺洗溪岂绮析乞启栖漆戚蟋羲起蹊曦淅悉熹禧犀萋行蜥凄稀希吸欺徙晰畦兮鳃杞熙柒厘喜谿𫍻稽牺唏晞凄嘻西奚戚七僖	歧烯嬉耆惜祺玺洗细祁析乞祇祈枝漆迄夕锡歙锜气曦熹悉旗犀萋汐麒蜥稀希欺崎熙奇汽柒矽喜企稽牺凄潟契席憩系熄奚砌七僖携琪齐琦席膝棋骑妻溪岂绮弃碛启系期器媳栖讫戚息蟋羲起蹊昔褶淅淇其愒禧系翕行凄戏隙吸习徙脐畦晰鳍兮杞圻鳃岐衹厘𫍻谿亟唏嘻晞泣西戚缉檄袭	
刀	叨	悼到导岛倒蹈捣稻盗祷道	滔涛绦偷掏韬都饕兜	斗涛萄蚪焘桃豆头梼淘窦洮陡枓透读斗脰痘逃啕讨陶套抖投逗	刁
刁	凋叼雕碉鲷貂雕	掉钓吊调吊	挑丢	𫖯眺挑条佻调迢蜩覜窕跳	刀
力	栗俪丽砾砺唳痢历雳栗立溧莅疠坜戾历琍吏笠粒例利厉钋荔𪲔俐郦隶蛎励沥鬲莉	礼喱澧醴丽犁哩鲤牦貍篱黎娌璃浬厘离理骊逦李锂梨狸里罹里漓蠡蜊俚	暱泥睨腻溺匿逆	妮尼泥霓呢你拟倪怩妳旎	
匕	彼鄙笔比沘妣	弊璧必敝铋薜哔痺箄襞避臂毙逼庇毕俾愎陛碧贲泌鄙跸篦蔽诐埤辟闭弼婢秘比壁睥币鼻裨			
十	埘拾石硕什蚀射实食提时	拭豕恃轼是匙湿狮氏虱使视失虱豉嘘仕噬誓筮施室嗜尸逝屎舐式尸适柿饰奭士诗螫弑市示试始势侍世史师湿识矢事驶释		赐泗肆厮鸶饲巳伺嗣撕似耜丝思死四祀司兕私食寺驷斯俟姒嘶	
卜	捕埔补哺	怖簿钸步埠不布布部			
又	幼鼬诱宥右柚祐有侑莠囿佑釉	游幽黝犹猷游攸油悠由牖铀有邮友疣莠酉尤优鱿忧	乐要钥耀药拗曜鹞	要淆哟夭崤咬谣杳瑶侥窈尧摇邀洮吆舀榣腰肴姚么遥肴窑妖爻	
三	参	伞散糁	扇姗縿删山舢煽跚膻杉衫珊潸芟	鳝扇膳禅擅疝讪缮汕赡煽善闪单陕	丈上下
下	暇吓夏厦	狎暇侠辖霞斜柙挟峡匣洽狭虾黠遐呷瞎瑕	驾价架贾假稼嫁	嘉假夏钾颊加葭家甲挟迦浃痂贾荚戛袈夹茄豭佳胛家	丈三上
丈	胀障账长仗幛涨帐杖瘴	长獐掌漳涨蟑樟彰章璋张	阵枕鸩脏葬朕赈震藏娠奘镇振	祯脏枕诊贞缜真怎针桢斟疹臻赃珍臧砧臜侦榛甄箴	三上下
上	赏晌尚	觞赏晌汤裳尚伤商殇	嗓哂审渗甚沈肾蜃沁婶脤丧慎沈	桑砷信渗申肾呻伸身沁参绅丧慎沈嗓哂审甚沈莘深娠蜃森婶脤神	丈三下
丫	押煆鸭呀压鸦	讶哑衙涯雅亚蚜氩轧押芽牙疋			
丸	玩完汍顽	惋弯湾莞碗蜿腕挽万宛玩挽晚皖绾豌剜娩婉	缘媛源员原辕园圆援𫘪猿湲元爰袁沅垣	宛院苑媛愿渊愿冤鸳鸢怨远	凡
凡	藩蕃樊墦烦矾钒繁帆	泛繙犯范泛梵番贩反泛蕃饭翻范返幡帆	涵函含韩干汗寒	憾悍旱颌和汉汗颔銲翰撼蚶罕捍鼾瀚喊酣焊	丸
久	九韭赳灸酒纠玖	究旧啾臼救舅咎疚纠就厩揪鸠柩	朽巧雀悄姣皎侥愀角鹊较勦饺狡脚晓筿缴小铰搅绞宿剿矫	毬溴嚣袖跷修哮消娇邱箫肖窍醮蕉峭囚羞秋逍浇俏秀撬跤轿球诮鲛硝销橇胶修仇瞧宿傚蛟嗅萧觉宵桥教蚯枭樵鞘憔酵姣裘骄窖削效笑焦詨龟霄骁泅壳交椒嘐求乔孝咻岫梂丘礁啸较敲锈郊谯酋锹校叫侨臭潇秋休鳅绣学翘嚼	么
么	邀要哟夭妖吆腰	要淆耀夭崤咬杳谣瑶侥窈钥尧摇洮鹞舀榣乐肴姚遥肴窑药拗曜爻	幽攸悠优忧	游黝由牖邮友疣莠又尤幼犹猷游鼬诱宥油右柚祐铀有侑酉囿佑鱿釉	久
也	野冶	噎晔琊邺叶谒业拽椰页靥射夜咽爷耶			乞
乞	起杞启岂稽绮	歧琪齐琦耆棋骑妻祺溪弃碛祁祇期器祈栖讫枝漆迄戚锜气其淇愒旗萋麒凄欺脐畦鳍崎圻汽奇岐衹柒企谿亟凄泣契憩戚砌七缉	几脊己挤几济戟给麂	洎棘玑羁暨疾忌肌祭集脊骑藉芰鸡矶乩剂积几记绩期机屐瘠楫迹嵇觊纪迹基计级极居妓冀畸戢姬畿其击寄辑寂犄蓟及饥嫉疠际几唧箕继急伋荠奇吉讥激季圾稷即髻霁汲技稽𪟝吃亟既悸跻籍系岌叽济鲫骥饥	也
于	盂妤隅娱榆愚鱼逾禺舆愉褕竽蝓雩渝觎腴渔臾于谀圩余余瑜俞予欤萸虞	瘉滪域瘀宇驭狱峪昱燠雨预迂语纡与煜龉欲噢芋育俞堉郁豫羽毓裕御吁妪敔喻玉欲圉誉禺禹熨屿愈寓愈谕圄御谷郁淤遇庾聿尉予浴	吾亡诬无毋鼯梧唔巫吴芜蜈	武污鹉晤骛巫侮悟坞误诬务午五乌伍寤戊恶呜妩于物勿怃雾屋舞兀圬钨捂𫐄污垩	
亡	吾王诬无毋鼯梧唔巫吴芜蜈	武鹉骛巫惘误诬网忘望乌恶呜于妄物屋舞𫐄捂钨枉垩污往魍晤侮坞悟王务罔尢午五伍戊寤旺妩勿怃雾汪兀圬污辋	盂玟妤隅娱榆愚鱼耘文闻逾禺舆愉芸褕蝓竽云雩雯纹渝筠蚊觎腴渔昀臾于谀纭圩余匀余瑜俞云予欤萸于虞	瘉员滪域瘀宇驭刎狱文瘟峪昱温燠愠韵雨紊预迂语晕纡与煜酝龉欲噢氲芋育问俞稳堉郁豫羽毓裕御吁妪敔喻玉欲圉闻孕誉吻禺禹熨陨屿愈寓愈塭谕圄御谷郁运淤遇抆庾蕴汶聿允尉予免浴	
兀	戊晤恶寤骛物勿悟坞雾误务𫐄钨垩	武污鹉巫侮吾亡诬无吴午五乌毋伍恶呜鼯妩于唔怃屋舞圬钨捂污梧芜蜈	裕瘉滪御域吁妪驭喻狱玉欲誉禺熨峪昱燠愈寓愈谕御谷郁预语遇与煜欲芋育聿尉俞堉郁豫浴毓	妤娱瘀宇逾褕竽蝓雨雩渝觎迂渔于语纡与噢龉余余俞欤羽虞盂隅榆敔愚鱼圉禺禹屿舆愉圄淤腴臾谀庾圩瑜予萸于	
刃	衽纫妊韧认仞饪轫任赁	仁荏稔壬人忍儿任	让	扔瓤嚷攘仍禳壤	
勺	数硕铄芍蟀朔烁帅杓率妁韶	召邵绍捎哨烧说少稍梢	熟	叟锁娑守寿受琐绶嗽索飕嗾搜售嗦馊搜缫搔蓑嫂狩所骚收手兽蓑瘦梭授艘首缩薮莎唆扫擞	
千	签阡嵌仟纤愆铅骞谦牵搴迁千签	干欠前堑纤遣黔歉倩箝虔潜浅钤谴钱钳	笺监间尖肩缣湔兼奸坚鞯渐菅歼奸缄艰溅煎	件槛剑健僭见舰毽渐谏囝检柬简溅减笕践监箭间闲荐腱键剪建碱睑茧饯鉴鉴涧贱捡拣俭荐	
叉	喳插差	察搽诧岔查茶刹差	搽擦		
口		扣佝叩扣寇	搞搅缟槁狗枸拷考烤杲稿苟	雊构够搆高皋枸诰篙羔诟犒膏购告媾糕铐沟钩勾靠垢遘睾句	
土	吐	凸荼兔涂酴图菟秃徒余突屠吐途	赌堵睹笃肚	髑杜渎蠹椟读犊黩度镀嘟渡肚都督妒牍毒独	
士	拭恃式轼适是柿饰奭氏使视螫弑市示试豉仕噬誓筮室势侍世嗜识逝事释舐	豕尸匙湿狮虱使拾诗硕失十虱嘘始埘石蚀实食施时提史师湿尸矢什屎射驶	赐祀泗肆兕食饲巳伺嗣似耜寺驷姒俟四	撕司厮丝斯鸶私思嘶死	
夕	翕潟戏隙系系矽系汐歙细	携烯嬉席膝惜玺洗溪析媳栖息蟋羲锡蹊昔褶曦淅悉熹禧犀行蜥稀希吸习徙晰畦兮鳃熙厘喜谿𫍻牺唏晞嘻西席奚熄袭僖檄	洎暨寄忌祭蓟骑芰际剂继荠记季稷髻霁技纪觊既悸计跻系济妓鲫骥冀	棘玑羁疾肌集脊己藉鸡矶乩积几绩期屐机楫瘠嵇迹迹基级极居戢畸姬畿其击辑寂给犄饥及嫉疠几唧箕麂挤急伋奇吉讥激圾即汲𪟝稽吃亟跻籍岌叽济戟饥	
大	迨贷黛怠逮岱待玳带殆代戴袋	瘩搭逮待褡靼呆答打达鞑怛歹跶	泰漯汰獭遢太遝榻态踏蹋塌挞跶	苔他台塔牠抬它跆胎台台苔台她塌	
女	汝乳辱	燸儒茹入嚅濡蠕如褥辱忸孺	努弩铝卤鲁掳卤吕橹缕褛膂旅娄侣屡虏履	绿律胪𬬻鲈麓戮颅炉奴噜怒闾鹭滤录穋禄赂率芦路卢榈露鹿僇碌氯驽驴陆庐虑泸	
子	仔訾紫滓籽梓	訾紫淄籽渍锱梓咨兹字姿孜资咨龇玆吱仔恣滓缁赀孳辎滋髭自	芷征止纸趾祇只指祉旨咫址	雉帜秩止蛭志芷氏脂值址肢执祇峙祉枝治支制质纸之祗志芝姪稚窒植织栀咫泜痣智致胝滞汁吱致置摭痔挚至制轾踯踬蜘直掷识知征只炙只趾指职卮旨殖	孓孑
孑	捷劫拮栉桔截诘节羯讦杰竭桀睫撷结洁颉杰碣	姊阶芥皆解街嗟戒揭疥界偕藉诫结姐借介接届	携协邪斜挟伽谐偕鞋撷茄颉胁勰	蟹切惬骇懈妾窃燮蝎楔泄血绁邂榭歇屉解泄写屑怯些卸械且泻谢亵契挈锲	孓子
孓	𫛞掘鳜抉决獗谲蹶劂脚倔玨角攫爵崛觼觉蕨诀厥绝嚼噱	倔蹶嗟	瘸穴学	穴雪薛靴确雀阙恪怯削却缺阕鹊壳榷血噱	子孑
寸	吋	忖皴村存	冲怆创闯	冲冲虫虫窗春匆撞淙床从鹑崇疮闯囱舂淳创醇葱充枞蠢宠纯唇憧重唇抢幢丛聪	
小	筿晓	枭啸逍嚣酵哮消削硝销效笑霄骁校箫肖傚嘐潇萧孝学宵	朽姣皎纠玖侥角灸九较勦饺酒狡脚缴铰搅韭宿赳绞久剿矫	溴啾袖修娇厩揪鸠醮羞蕉究旧浇秀舅跤轿疚鲛修胶宿蛟嗅觉教救姣骄窖就纠焦詨交椒咻岫柩礁较臼咎锈郊校叫臭休绣嚼	
尢	汪	往望魍旺妄亡惘王网枉罔辋忘	瘟温晕氲塭	员玟刎耘文闻孕吻熨陨愠芸云韵雯运纹紊蚊筠昀晕酝抆蕴汶纭允匀问云稳免	
尸	狮师湿虱诗尸失虱施湿嘘	拭豕恃轼是匙氏拾使视豉仕噬蚀誓筮室提嗜什逝屎舐式适柿饰奭士硕螫十弑市示试始埘石食实时势侍世史识矢射事驶释	撕司厮丝斯鸶私思嘶	赐祀泗肆兕食饲巳嗣伺耜似寺驷姒俟思死四	
山	扇姗縿删舢煽跚杉衫膻珊潸芟	鳝扇膳禅擅疝讪缮汕赡煽善闪单陕	三参	伞散糁	
川	穿	钏船舛串传喘		爨窜篡	
工	共攻宫红蚣恭肱躬功弓供釭龚公	矿巩共汞贡供廾拱	倥髡琨焜崆坤锟昆空硿昆	辊鲧倥滚梱空衮孔捆困恐捆棍困控	
己	几脊挤几济戟给麂	洎棘玑羁暨疾忌肌祭集脊骑藉芰鸡矶乩剂积几记绩期机屐瘠楫迹嵇觊纪迹基计级极居妓冀畸戢姬畿其击寄辑寂犄蓟及饥嫉疠际几唧箕继急伋荠奇吉讥激季圾稷即髻霁汲技稽𪟝吃亟既悸跻籍系岌叽济鲫骥饥	起鳃杞乞启玺徙洗喜岂稽绮	歧烯嬉耆惜祺细析祁祇祈枝漆迄夕锡歙锜气曦悉熹旗犀汐萋麒蜥稀希欺崎汽奇熙柒矽企牺凄潟契系席憩奚熄砌七僖携琪齐琦席膝棋骑妻溪弃碛系期器媳栖讫息戚蟋羲蹊昔褶淅淇其愒禧系行翕凄戏隙吸习脐畦晰鳍兮圻岐衹厘𫍻谿亟唏晞嘻西泣戚缉袭檄	巳已
已	尾椅以蚁乙矣旖偯迤迆倚	漪艺屹肄轶刈谊呓迤移缢逸彝溢佾夷沂宜劓医疫颐噫疑懿镒毅揖义𫍙蛇邑亿液佚役仪易羿裔姨咦弋蜴壹驿饴弈译帟翌异益栘臆遗亦艾腋曳咿议诣意伊绎怡贻忆掖浥翳圯胰奕一翼抑衣痍依			己巳
巳	赐祀泗兕肆食饲伺嗣似耜寺驷姒俟四	撕司厮丝斯鸶私思嘶死	拭恃式轼适是饰柿奭氏士使视螫弑市示试豉仕噬誓筮室势侍世嗜识逝事释舐	豕尸匙湿狮虱使拾诗硕失十虱嘘始埘石蚀实食施时提史师湿尸矢什屎射驶	己已
巾	襟觔浸斤金矜津禁筋今	尽馑烬晋紧噤劲仅禁尽觐缙浸谨瑾进锦近	鎗青泾枪心粳馨芯精羌倾镶浆厢缰䜣茎兴新亲莘疆惺乡星呛经氢香顷抢昕清欣惊江锌睛襄锵姜腔蜻更兢鲭侵晶旌钦僵京湘鲸卿荆菁轻薪嵚瓖辛姜腥箱将猩相	邢竟墙颈靖信彊祥芯降秦静情倾刑磬橡噙巷沁省陉琴奖酱芹醒饷兴庆响幸竞亲形匠幸乡讲呛揿象璟桨顷抢想项硎迳境景详罄擎劲警蔷擒行翔禽径𫄶享檠型晴绛樯性井像痉勤净向寝镜庠蒋憬杏敬戕寻衅阱悻姓飨请将相向强	
干	干竿疳坩甘柑尴杆肝	橄淦干赣敢干感秆杆赶	戡看勘刊堪	侃坎看槛瞰勘砍崁	
廾	矿巩共汞拱	共攻工宫红蚣恭躬肱功釭弓供贡龚公	辊鲧捆倥孔恐捆滚梱衮	倥琨焜崆锟昆空硿困髡棍困坤控昆	
弋	屹艺肄轶刈谊呓缢逸佾溢劓疫懿镒毅义邑亿液佚役易羿裔蜴驿弈帟译翌异益臆腋亦艾曳诣议意绎忆掖浥翳奕一抑翼衣	漪尾咦姨椅壹蚁饴旖谊偯迤栘移以彝夷已遗沂宜咿医颐伊噫疑乙怡贻揖𫍙迆蛇矣圯胰仪一衣痍倚依			
弓	共攻工宫红蚣恭肱躬功供釭龚公	矿巩共汞贡供廾拱	倥髡琨焜崆坤锟昆空硿昆	辊鲧倥滚梱空衮孔捆困恐捆棍困控	
才	裁才财材	蔡采彩睬彩采猜菜踩	柴侪豺	钗拆差	
丑	丑	俦溴绸鯈惆稠酬仇畴抽愁踌筹臭裯	草吵炒	潮嘈巢朝勦糙操超抄晁凑辏槽钞嘲剿漕曹	不丐
丐	盖溉钙概	垓改赅该	咳愒忾慨	恺开剀楷揩凯慨岂	不丑
不	怖簿钸步埠布布部	捕步埔簿布补卜部怖钸埠哺布			丑丐
中	盅众仲忠湩钟钟衷重终忪种	踵盅仲众忠钟衷冢终忪湩肿钟重冢种	粽肫纵圳樽鬃俊棕屯谆踪尊综遵宗从	偬准总肫粽纵圳鬃樽俊棕屯谆踪尊综遵准宗从撙	丰
丰	疯枫锋峰蜂烽丰讽风封	缝讽逢奉凤俸冯	棻氛吩纷分芬亨哼	恒痕分汾恨很份狠坟粪焚奋桁忿愤衡横粉	中
丹	箪担耽单	诞淡蛋石惮弹撢但啖胆啗疸氮旦担澹	贪坍探滩摊瘫	昙毯覃炭袒痰潭坛弹叹碳叹谭谈探檀坦坛	
之	肢祇织栀枝泜蜘支氏知只只祗脂芝胝卮汁吱	雉秩帜止蛭志芷值址执祇祉峙治制纸质志姪稚窒植咫痣智致滞致置痔摭至挚制轾踯踬直掷知识征只炙趾指职旨殖	淄锱缁赀咨兹姿孳孜资辎滋咨龇玆髭吱	仔訾字恣紫滓籽渍子孳梓自	尹
尹	瘾听饮縯隐蚓引	夤胤银鄞印饮因龈茵淫簷音寅垠湮姻阴吟慇氤荫殷隐霪	养景郢仰颖鞅氧影痒	缨佯疡洋樱映飏杨羊央秧应萦鹰漾恙硬蝇炀烊养迎扬营膺婴嬴昜楹旸阳莹钖罂鸯莺怏徉赢鹦盈英样鞅萤泱殃荧瑛嘤璎茔瀛	之
予	盂妤隅娱榆敔宇愚鱼圉逾禺禹屿舆愉褕圄竽蝓雨雩渝觎腴渔语臾于与谀龉噢庾圩余余瑜俞欤萸羽于虞	瘉滪妤域娱瘀宇驭狱逾峪昱燠褕蝓竽雨雩渝觎预渔迂于语纡与煜龉欲噢芋育余余俞欤堉郁豫羽虞毓裕盂御隅吁妪榆敔喻愚鱼玉欲圉誉禺禹熨屿舆愈寓愈愉谕圄御谷郁淤腴臾遇谀庾圩聿尉瑜萸于浴	武鹉五毋伍妩唔鼯巫侮吾怃亡舞诬捂无梧吴蜈芜午	武污鹉晤骛巫侮吾悟坞亡误诬务无吴午五乌毋伍寤戊恶呜鼯唔妩于物勿怃雾屋舞兀圬钨捂𫐄污梧芜蜈垩	
云	纭耘匀筠云昀芸	韵允员孕熨运陨晕酝愠蕴氲	文亡闻佣王雯纹玟蚊	佣雍蓊涌刎佣嗡文惘甬蛹网瘟用温忘望鄘永慵紊瓮妄邕问俑枉稳恿往拥踊翁魍勇王闻臃吻罔咏涌尢塭泳旺庸抆汶汪辋壅免	互五井
井	颈憬景阱璟警	竟惊泾靖粳睛精劲静更径兢晶旌京茎痉鲸竞净荆镜菁敬经迳境	醒馑紧仅寝尽觐谨瑾省顷请锦	青邢信心烬馨芯秦筋情倾刑缙磬噙沁进陉琴䜣芹巾兴庆新幸亲噤津尽莘形觐幸惺斤星揿氢顷近硎昕今清欣锌罄矜擎劲蜻襟擒行禽觔鲭侵檠型晴钦性尽金晋勤卿禁仅轻薪嵚杏浸辛寻衅悻姓腥猩	云互五
互	瓠户沪楛沍护扈	壶胡鹄蝴胡琥湖葫囫弧虎许斛瑚惚唬乎戏呼糊忽狐	富腹馥覆赙附副傅复付复赴妇咐父阜赋负驸讣	氟缚匐肤𫓧俯府腑夫腐𫖯蝠绋扶甫幅芾孚弗辐绂福袱浮伏符菔釜敷拂涪抚怫斧孵莆趺辅佛服父麸脯芙伕俘	云五井
五	武怃舞鹉捂伍妩侮午	污晤骛巫吾坞悟亡误诬务无吴乌毋寤戊恶呜鼯于唔物勿雾屋兀圬钨𫐄污梧芜蜈垩	雨语与龉宇庾敔噢圉禹予屿羽圄	瘉滪域妤娱瘀驭狱逾峪昱燠褕蝓竽雩渝觎预渔迂语于与纡煜欲芋育余余俞欤堉郁豫毓虞裕盂御隅吁妪榆喻愚鱼玉欲誉禺熨舆愈寓愈愉谕御谷郁淤腴臾遇谀圩聿尉瑜予萸浴于	云互井
亢	伉炕抗	糠慷康扛	艮亘杠	垦艮龈肯根跟缸纲冈港啃岗釭肛扛恳杠钢刚	
仁	壬人儿任	刃衽妊纫稔仞忍轫任荏韧认饪赁	瓤攘仍禳	扔嚷让攘壤	仄仇仆什仃仍介今
什	舌埘石蚀甚食实时提蛇拾硕十射	摄拭豕恃轼是匙涉湿叶赊狮氏拾虱使设视失虱豉舍嘘舍仕赦噬誓筮施室嗜尸逝屎歙舐麝奢式尸适柿饰奭士诗螫社弑市示试始势侍世史师湿识矢射事驶释		赐泗肆厮鸶饲巳伺嗣撕似耜丝色思死四涩祀司圾兕私食塞穑瑟啬寺驷斯俟姒嘶	仄仇仆仁仃仍介今
仃	叮酊丁盯钉	定酊鼎顶锭订钉	听厅汀	廷霆婷听蜓挺梃停亭艇庭	仄仇仆仁什仍介今
仆	扑扑铺噗	普埔葡铺濮朴浦钋蹼朴誧莆暴溥谱瀑脯蒲圃菩璞曝仆匍			仄仇仁什仃仍介今
仇	俦毬绸鯈球裘惆稠酬畴酋愁泅踌筹裯求梂囚	蚯丘邱龟秋溴抽臭丑秋鳅丑	潮嘈巢樵朝憔晁谯瞧槽嘲乔侨漕桥曹翘嚼	啾巧雀跷皎娇厩揪鹊鸠钞灸窍醮蕉峭九究旧浇饺俏撬舅跤轿狡诮鲛疚橇胶搅韭赳蛟久觉教鞘救悄姣骄窖操超玖纠就侥焦詨角愀辏壳交椒吵柩礁较臼勦敲糙咎酒郊脚抄缴铰草凑锹校绞叫矫剿炒翘	仄仆仁什仃仍介今
仍		扔	仁壬人儿任	刃衽妊纫稔仞忍轫任荏韧认饪赁	仄仇仆仁什仃介今
今	襟觔浸斤金矜津禁筋巾	尽馑烬晋紧噤劲仅禁尽觐缙浸谨瑾进锦近	鎗青泾枪心粳馨芯精羌倾镶浆厢缰䜣茎兴新亲莘疆惺乡星呛经氢香顷抢昕清欣惊江锌睛襄锵姜腔蜻更兢鲭侵晶旌钦僵京湘鲸卿荆菁轻薪嵚瓖辛姜腥箱将猩相	邢竟墙颈靖信彊祥芯降秦静情倾刑磬橡噙巷沁省陉琴奖酱芹醒饷兴庆响幸竞亲形匠幸乡讲呛揿象璟桨顷抢想项硎迳境景详罄擎劲警蔷擒行翔禽径𫄶享檠型晴绛樯性井像痉勤净向寝镜庠蒋憬杏敬戕寻衅阱悻姓飨请将相向强	仄仇仆仁什仃仍介
介	戒芥疥界藉诫解借届	捷阶拮皆桔街截诘节杰桀揭孑颉接碣姊劫栉解嗟羯讦竭睫偕撷结洁姐杰	蟹切惬骇懈妾窃燮楔泄绁榭邂屉解泄屑怯械卸泻亵谢契挈锲	携协歇切写邪斜些且挟谐伽蝎鞋偕撷颉茄血勰胁	仄仇仆仁什仃仍今
仄	侧	则择泽贼责怎笮啧窄咋	浙这蔗鹧宅	遮慑谪赭者辙哲蜇折著摘折辄螫褶	仇仆仁什仃仍介今
元	缘媛源员原辕园圆援𫘪猿湲爰袁沅垣	宛院苑媛愿渊愿冤鸳鸢怨远	玩丸完汍顽	惋弯湾莞碗蜿腕挽万宛玩挽晚皖绾豌剜娩婉	允
允	陨	云韵员运筠昀晕酝蕴氲纭耘孕匀熨云愠芸	往拥踊魍蓊涌勇刎惘甬蛹臃吻网罔咏涌泳永俑枉辋稳壅恿	拥佣雍翁玟佣嗡文亡闻王臃瘟用温尢塭忘鄘望雯慵纹紊蚊旺瓮妄庸抆汶汪邕问壅免	元
内		馁哪	累擂类泪	累擂垒嫘漯缧蕾磊镭儡耒羸雷勒	
六	霤馏陆溜	留刘柳泵琉浏流瘤溜铆遛硫榴	尿廖燎拗料瞭	寮缭聊潦扭寥撩疗妞辽僚嘹燎了暸钮鸟纽牛忸瞭嬝袅	公兮
兮	携曦淅悉熹烯禧犀嬉膝行蜥稀希吸溪晰畦析熙厘栖𫍻谿牺蟋唏晞嘻羲西奚蹊僖	系汐席翕戏隙惜习玺徙洗细鳃系媳矽喜息潟夕系席锡熄歙袭昔檄褶	畸姬畿其玑羁肌犄饥疠鸡矶乩几积唧箕几奇讥激绩期屐机嵇迹𪟝稽迹基跻叽居饥	洎棘疾暨忌祭集脊己骑藉芰剂几记楫瘠觊纪计级极妓冀戢击寄辑寂给蓟及嫉际几唧麂继挤急伋荠吉季圾即稷髻霁技汲吃亟既悸跻籍系岌济鲫戟骥	六公
公	共攻工宫红蚣恭肱躬功弓供釭龚	矿巩共汞贡供廾拱	倥髡琨焜崆坤锟昆空硿昆	辊鲧倥滚梱空衮孔捆困恐捆棍困控	六兮
冗	茸	容荣融镕绒蓉茸溶熔榕戎嵘		闰润	
凶	凶兄汹匈胸	熊雄	熏钧龟军勋君薰均醺勋	汛浔巡炯窘隽徇郡峻濬迥潠浚驯询璿骏巽蕈殉循俊迅训逊讯寻荀洵旬竣菌	
