#汉字	同音同调	同音异调
一	壹	漪
夭	么哟舀腰咬吆要邀妖	侥摇耀药淆遥肴谣乐钥拗窑姚
孔	恐	控空
少	绍召哨	稍捎梢勺烧芍
尤	由犹游邮油	佑忧幽悠友又诱有幼优右
尺	齿耻侈	翅匙斥驰迟池赤持吃嗤弛
屯	囤谆臀	吞褪准
巴	八扒捌笆芭疤吧叭	爸靶霸把伯耙罢拔跋坝
幻	唤换痪宦焕涣患	缓环欢还
引	瘾隐听饮蚓	印吟淫银因殷茵音姻阴
心	欣薪新辛锌芯	衅信寻
戈	搁割胳哥鸽疙歌	阁合格革隔葛蛤各个
户	沪互护	壶许呼狐戏唬乎胡葫虎忽糊蝴弧湖
手	守首	售收熟兽瘦受授寿
扎	炸喳渣查闸	眨栅诈乍
支	只氏芝枝肢知织蜘之吱脂汁	址植治致制直窒掷征帜执稚志智挚值止纸趾职至秩置滞殖指识旨质
文	免问紊蚊闻纹	吻瘟温稳
斗	蚪陡抖	痘都读逗兜豆
斤	津金巾禁浸今筋襟	进尽锦紧劲仅谨近晋
方	芳坊	房妨放访纺肪防仿
月	悦越阅耀岳药粤跃说乐钥	约
木	幕募慕暮沐目牧墓穆睦	亩姥姆母拇模牡
欠	歉纤	浅千谴前钱钳干嵌迁潜牵黔签铅谦遣
止	只址征指纸趾旨	植治致制直脂窒掷氏织帜执稚蜘之志智挚枝肢值职至支秩吱置汁芝知滞殖识质
歹	逮	贷戴袋带大待呆代怠
比	庇毙臂毕彼匕弊币必避辟泌壁碧璧闭笔蔽鄙	逼鼻
毛	矛锚茅	贸冒猫貌帽茂
氏	拭势室使柿侍饰脂誓只恃示织式蜘事之释适嗜枝肢逝是市士支世吱试汁芝视知识	址植提匙施治屎致时制驶拾直窒掷狮实征诗什食帜石执十稚史志射尸智挚失硕值止纸趾职虱至蚀秩置矢滞殖指质旨始师湿
水		谁睡说税蜕
火	伙	豁或和获货活祸霍惑
爪	沼找	昭赵罩招嘲抓召朝兆着照
父	妇赴傅咐腹抚俯府辅付附脯赋富复斧负甫腐副	芙敷辐蝠浮福幅服缚俘肤孵符袱扶麸伏拂夫
片	遍骗	偏便篇翩扁
牙	蚜涯衙押芽	压鸭鸦轧雅呀讶亚哑
牛		钮纽扭拗
犬	泉卷拳权痊全	劝圈券
王	旺忘妄亡望	往汪网枉
丙	饼柄禀秉屏	冰兵病并
世	拭势逝室是使柿侍市士饰适誓试氏视恃示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
且		怯切窃茄契
丘	蚯龟秋	求仇球囚
主	贮煮拄属嘱	助朱住注蛛猪柱筑术珠祝铸轴竹烛蛀诸逐驻株
乍	栅炸诈	眨喳渣查扎闸
乏	阀伐法罚筏	发
乎	呼忽戏	壶许沪互狐唬户胡护葫虎糊蝴弧湖
以	尾椅乙蚁矣已倚	夷疑医艺肄意抑仪伊疫异漪忆翼衣益奕液毅屹艾一依议谊腋邑逸掖亦义溢遗移役易姨胰宜揖亿译绎蛇壹
付	附妇赴傅赋富复咐父腹负副	辐浮缚符麸伏拂脯福斧俘袱甫夫敷芙蝠肤抚俯府辅幅服孵扶腐
仔	紫宰籽子载滓	资滋栽自字姿在再吱灾咨
仗	丈涨长帐胀杖账障	彰掌樟张章
代	贷戴袋带大待逮怠	歹呆
令	另	岭领凌灵菱玲伶蛉铃陵龄翎零
仙	鲜先纤掀	嫌馅衔弦险腺线涎舷癣闲贤县咸现显陷限铣献宪
充	冲	崇宠虫重
兄	凶匈胸汹	雄熊
册	策测侧厕
冬	东	冻栋董动懂洞
凹		澳袄懊傲拗熬奥
出	初	矗储锄畜触楚橱除处础厨雏
凸	骨突股古徒滑鼓涂图贾屠谷途	估沽辜秃土吐家雇咕兔顾告姑孤故固
刊	看堪勘	砍坎
加	佳家夹嘉茄	荚钾挟价架稼甲颊夏嫁贾假驾
功	宫弓共攻蚣躬工公供恭红	拱汞巩贡矿
包	褒苞胞	爆堡饱刨暴薄雹保豹宝抱报
匆	聪从囱葱	丛
北		卑臂背贝被辈焙狈惫悲杯备碑倍
半	拌扮伴绊办瓣	班板扳搬颁版般斑
卡	咳	咖恰哈洽
占	栈暂战绽沾站瞻蘸毡颤	崭斩盏展
去	娶趣	曲圈屈蛆趋躯取岖驱区渠
躯	驱	漆娶趣
可	坷客课刻渴克	咳苛磕科蝌棵壳颗
古	股凸鼓滑贾骨谷	估沽辜家雇咕告顾姑孤故固
右	佑又诱有幼	忧幽尤悠犹游由邮友油优
召	昭赵罩招嘲少朝兆着绍照哨	稍找爪捎梢勺烧沼芍
叮	丁盯钉	锭鼎定顶订
叨	刀	道悼到稻盗倒岛导祷蹈捣
叼	雕刁碉	钓掉吊调
司	丝思斯撕嘶私	死食四饲伺肆似赐寺
叫	觉轿窖教校较	椒角胶娇脚嚼矫侥狡绞蕉焦郊搅交饺剿礁骄浇缴
另	令	岭领凌灵菱玲伶蛉铃陵龄翎零
只	址枝肢止纸趾支吱脂汁氏芝知征织指旨蜘之	植致治制直窒掷帜执稚志智挚值职至秩置滞殖识质
史	屎使驶始矢	拭提匙势室施时柿侍拾饰誓狮氏实诗恃什示石食十式事射释嗜适尸失逝硕是虱士蚀市世试视识师湿
台	苔抬	胎泰太汰态
句	聚巨剧沟钩具勾距俱拒惧炬锯据足	苟拘鞠蛆沮居车橘垢驹购狗构举矩局够菊
叭	八巴扒捌笆芭疤吧	爸靶霸把伯耙罢拔跋坝
四	食饲肆伺似赐寺	死司丝思斯撕嘶私
囚	求仇球	蚯丘龟秋
央	鸯秧殃	阳羊养杨扬痒样氧仰洋漾
失	狮施诗虱师湿尸	拭提匙势室时屎使柿侍驶拾饰誓氏实食恃什示石十式史事射释适嗜硕逝是市士蚀世矢试视识始
奴		努怒
奶	奈乃	耐
孕	晕酝运蕴韵员	陨允云耘匀
尼	泥呢	你逆溺匿腻拟
巨	聚剧距具拒俱惧炬句锯据足	拘鞠蛆沮居车橘驹矩举局菊
巧	悄鹊雀	窍桥侨峭锹跷瞧撬憔壳乔翘俏敲
左		凿作做坐昨座
市	拭势逝室是使柿侍士世饰适誓试氏视恃示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
布	埠步簿怖部不	捕补哺卜
平	苹萍评屏坪冯瓶凭	乒
幼	佑又诱有右	忧幽尤悠犹游由邮友油优
必	庇毙臂毕弊币避辟泌壁碧璧闭比蔽鄙	逼彼鼻匕笔
打		大达答搭瘩
扔		仍
扒	八爬巴捌耙笆芭疤吧叭	爸靶霸把伯罢趴拔跋坝帕怕
扑	铺仆	瀑菩葡朴浦谱暴蒲圃普脯
斥	赤翅	匙弛驰池迟持吃尺嗤齿耻侈
旦	诞弹石氮担蛋但淡	单胆耽丹
术	筑轴竹烛逐	助朱贮煮住注猪主珠柱蛛祝属铸拄蛀诸嘱驻株
本		笨奔
未	为卫谓位尉喂伪胃味遗慰蔚魏畏	委伟尾薇苇违维围威偎萎纬唯危微巍桅
末	默漠磨墨脉沫莫膜陌寞茉没	么蘑摩魔抹摸摹模
正	丁政征筝怔证症狰郑睁挣蒸争	拯整
母	亩姥姆拇牡	幕募木慕暮沐目牧墓穆模睦
民		敏皿闽悯
永	泳蛹踊拥咏勇	庸用佣
汁	只氏芝枝肢知织蜘支之吱脂	址植治致制直窒掷征帜执稚志智挚值止纸趾职至秩置滞殖指识旨质
犯	饭贩泛范	樊返矾繁烦帆番凡翻反
玄	漩悬旋还县	喧选炫轩宣
玉	域裕尉愈育誉浴寓欲芋御狱郁与豫预遇语吁谷喻	逾予雨屿迂愉榆鱼娱舆隅愚羽淤宇
瓜	蜗括刮	卦挂寡褂
瓦		袜洼蛙娃挖
甘	干肝竿杆柑	感赶敢秆橄
生	牲升胜笙甥身声	乘绳剩圣盛省
用	佣	泳蛹踊拥咏勇庸永
甩		蟀帅率摔衰
田	填恬甜	添天舔
由	尤犹游邮油	佑忧幽悠友又诱有幼优右
甲	钾贾夏假	佳荚加挟价家茄稼颊嫁夹架嘉驾
申	伸信绅深参身呻	沈甚审慎婶肾渗神
白	泊舶渤搏勃柏伯博卜脖薄驳膊荸	败剥跛簸百玻播拨摆般拜菠
皮	脾疲罢啤	屁否匹霹批坏被譬僻劈披辟
皿	敏闽悯	民
目	幕募木慕暮沐牧墓穆睦	亩姥姆母拇模牡
矛	锚毛茅	贸冒猫貌帽茂
矢	屎使史驶始	拭提匙势室施时柿侍拾饰誓狮氏实诗恃什示石食十式事射释嗜适尸失逝硕是虱士蚀市世试视识师湿
石	提硕时氮蚀担蛋拾弹实食什淡十射旦但诞	拭匙势室施屎使柿侍驶饰丹誓狮氏诗恃示胆式史耽事释嗜适尸失逝是虱士市世矢试视单识始师湿
示	拭势逝室是使柿侍市士世饰适誓试氏视恃式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
禾	合核盖和荷何河盒褐	鹤喝吓呵贺赫
穴	学血雪削	靴薛
立	吏砾雳丽痢隶沥粒励厉力荔历莉例俐利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
乒		苹萍平评屏坪冯瓶凭
乓	磅	旁胖膀螃庞
交	椒蕉娇胶焦礁教骄浇郊	矫侥搅狡轿叫觉绞饺角窖剿校脚较嚼缴
亦	腋邑逸艺肄掖意抑义溢疫异役易忆翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
亥	骇害	孩咳还海
仿	访纺	芳房妨放坊肪方防
伙	火	豁或和获货活祸霍惑
伊	揖衣医依一壹漪	夷疑艺肄意抑仪疫异忆翼益奕液毅屹艾已议以倚谊腋邑逸掖椅乙亦义溢遗移役易姨胰宜尾亿译绎蛇蚁矣
伍	武舞捂侮午鹉五	无于务雾巫诬乌吴勿梧呜污芜悟亡屋恶蜈晤误物坞
伐	阀乏法发罚筏
休	修羞	锈臭宿袖嗅秀朽绣
伏	芙辐蝠浮福幅服缚俘袱符扶拂夫	妇赴腹麸付脯附赋斧父负甫敷傅咐肤抚俯府辅富复孵腐副
仲	中种重众	忠盅肿衷终钟
件	践建溅鉴渐健荐监涧键舰间贱剑见箭	坚柬拣捡茧兼简尖检剪俭艰碱减煎歼肩奸
任	赁认韧纫人刃儿仁	忍
仰	痒氧养	阳羊鸯杨样扬秧殃央洋漾
份	愤粪奋分忿	粉芬吩焚纷氛坟
企	泣器迄气弃砌汽契妻	戚稽畦漆脐七只鳍奇凄祈骑枝旗启栖欺起歧柒乞棋齐其溪崎岂期
光		广逛
凶	兄匈胸汹	雄熊
兆	赵罩召照	昭嘲找招爪朝着沼
先	鲜仙纤掀	嫌馅衔弦险腺线涎舷癣闲贤县咸现显陷限铣献宪
全	泉卷拳权痊犬	劝圈券
共	弓攻公工贡红供矿宫汞蚣躬巩恭功拱
再	在载	仔灾宰栽
冰	兵	饼柄禀病并秉屏丙
列	劣烈猎裂	咧
刑	邢行形型	醒腥星性兴姓猩杏幸省
划	豁桦滑猾华哗	化花话画
劣	列烈猎裂	咧
匈	凶胸汹兄	雄熊
匠	将强降酱	桨姜浆江蒋僵疆讲缰奖
印	饮隐	瘾引吟听银淫因殷蚓茵姻音阴
危	为薇维围违唯微巍桅	委卫位喂胃未味威偎慰谓苇畏伪尉遗萎纬蔚伟尾魏
吉	辑即籍吃棘脊唧借急嫉击级寂集及圾极疾	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
吏	立砾雳丽痢隶沥粒励厉力荔历莉例俐利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
同	彤桐铜童瞳	统筒桶痛通
吊	钓掉调	雕刁叼碉
吐	土兔	秃凸徒涂图突屠途
吁	须需虚	许徐绪叙畜恤酗序絮旭婿蓄续
各	个	搁阁格戈隔割葛蛤胳哥鸽疙歌
向	像橡相项乡巷象	想祥箱镶厢详享响湘翔香降
名	鸣铭螟明	命
合	核盖荷和何河禾盒褐	鹤喝吓呵贺赫
吃	辑即籍棘脊唧嗤借急嫉击级寂集及圾吉极疾	纪翅叽匙妓稽给池赤荠持尺记几迹既鲫基饥箕继奇济挤积寄畸冀耻骑讥际激绩鸡居迟祭机季齿剂侈系计斥驰技忌肌其己弛期
后	候厚	侯猴吼喉
吆	么夭哟腰要邀妖	侥摇耀药淆舀遥肴谣乐咬钥拗窑姚
因	殷应茵音姻阴	印瘾隐吟听银淫饮引蚓
回	茴蛔	恢虫堕挥诲灰秽惠讳贿汇绘辉毁徽悔晦慧溃会
地	的弟蒂递帝第缔	笛抵嘀低嫡滴底涤敌芽
在	载再	仔灾宰栽
多	朵夺	踱堕躲舵惰跺驮度
夷	宜疑蛇遗仪一移姨胰谊	医艺肄意抑伊疫异漪忆翼衣益奕液毅屹艾依已议以倚腋邑逸掖椅乙亦义溢役易揖尾亿译绎蚁矣壹
夸		垮跨胯
妄	王旺忘望	往网枉亡汪
奸	坚兼尖艰溅歼煎渐间监肩	践建鉴健涧拣捡键检碱贱箭柬简剪荐茧俭舰减见件剑
好	浩镐号耗	鹤壕毫嚎蒿豪
如	儒蠕	女入辱褥乳
字	自	资滋紫仔姿籽子吱滓咨
存		村寸
宇	予屿雨与语羽	于愈愉榆浴淤狱渔娱豫舆隅遇谷喻域逾裕玉尉育誉鱼寓欲愚御迂郁预吁芋
守	首手	售收熟兽瘦受授寿
宅	浙这蔗	窄斋遮债摘辙哲齐祭着责寨者折
安	鞍庵氨	按案暗岸俺
寺	食四饲伺肆似赐	死司丝思斯撕嘶私
尖	坚兼艰溅歼煎渐间监肩奸	践建鉴健涧拣捡键检碱贱箭柬简剪荐茧俭舰减见件剑
屹	腋邑逸艺肄掖亦意抑义溢疫异役易忆翼衣益亿奕液毅译绎艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
州	周舟粥洲	昼肘咒皱帚轴宙
帆	樊繁烦番凡翻矾	返范犯泛饭反贩
并	病	饼柄禀冰兵秉屏丙
年		撵碾念捻
式	拭势逝室是使柿侍市士世饰适誓试氏视恃示识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
弛	匙驰池迟持	翅斥赤吃尺嗤齿耻侈
忙	氓盲芒茫	莽
成	呈惩城程诚承乘盛橙澄	称秤撑逞
扣	寇	口
扛	岗纲冈缸肛钢刚	糠慷抗港炕康
托	脱拖	椭唾拓驮驼鸵妥
收		售首守兽瘦寿授受手熟
早	澡藻蚤枣	皂躁造糟灶噪遭燥凿
旨	只址征止指纸趾	植治致制直脂窒掷氏织帜执稚蜘之志智挚枝肢值职至支秩吱置汁芝知滞殖识质
旬	巡寻询驯循	逊讯训勋迅汛殉
旭	叙畜绪恤酗序絮婿蓄续	许徐需虚须吁
曲	圈屈蛆趋躯取岖娶驱区	漆趣渠去
有	佑友又诱幼右	忧幽尤悠由犹游邮油优
朽	宿	锈臭羞袖休嗅秀修绣
朴	脯泊菩仆葡魄蒲破迫	剖瀑扑婆浦谱铺暴颇坡波圃普泼
朱	蛛猪珠诸株	助贮煮住注主柱筑术祝属铸轴拄竹烛蛀嘱驻逐
朵	躲多	夺踱堕舵惰跺驮度
次	赐伺厕刺	瓷此词差雌祠辞慈磁
此		瓷厕刺赐词伺差雌祠辞次慈磁
死		寺食司四丝饲伺肆思似斯撕赐嘶私
汗	韩旱悍汉寒函翰撼涵憾捍焊含	罕和酣喊
污	于巫诬屋乌呜恶	无务伍雾午吴舞勿梧五武芜悟亡蜈晤误物坞捂侮鹉
江	将浆姜僵疆缰	桨酱蒋强匠讲奖降
池	匙驰迟持弛	翅斥赤吃尺嗤齿耻侈
污	于巫诬屋乌呜恶	无务伍雾午吴舞勿梧五武芜悟亡蜈晤误物坞捂侮鹉
汛	逊讯训驯迅殉	巡寻旬勋询循
灰	恢堕挥辉徽	虫茴惠晦讳贿汇回绘毁悔诲慧会溃秽蛔
百	摆	白拜败
竹	术筑轴烛逐	助朱贮煮住注猪主珠柱蛛祝属铸拄蛀诸嘱驻株
米	靡	咪密弥蜜秘迷谜觅泌糜
羊	杨扬阳洋	鸯养样痒秧殃氧仰央漾
羽	予屿雨与语宇	于愈愉榆浴淤狱渔娱豫舆隅遇谷喻域逾裕玉尉育誉鱼寓欲愚御迂郁预吁芋
老	姥	劳烙牢酪捞唠络
考	拷烤	铐靠
而	儿	尔耳饵贰二
耳	饵尔	二贰而儿
肉		柔揉蹂
肋	勒乐垃	了
肌	激绩叽稽居唧机几迹基饥箕奇其积畸鸡期讥	纪妓即给籍荠吃棘脊借急记嫉既鲫级集寂及继济挤寄冀吉骑际辑祭季剂击系计技忌圾己极疾
臣	沈晨沉尘陈辰忱	趁称衬
自	字	资滋紫仔姿籽子吱滓咨
至	智挚知致治滞帜质识稚制秩置志窒	址植直脂掷只氏征织执蜘之枝肢值止纸趾职支吱汁芝殖指旨
臼	就舅旧救疚究	九酒久揪鸠韭灸纠玖
舌	什蛇甚	社摄奢射舍叶拾涉赊赦设
舟	周州粥洲	昼肘咒皱帚轴宙
色	塞瑟圾涩
艾	碍艺肄意抑疫异忆翼衣益奕液爱毅屹一隘议谊腋邑逸掖亦义溢役易亿译绎	哀夷疑医仪伊唉漪依已以倚蔼椅乙矮哎遗壹移姨胰宜揖尾蛇埃蚁矣挨
虫	贿重毁悔诲崇会	恢充茴堕惠宠讳晦冲汇挥回绘辉徽灰慧溃秽蛔
血	写穴雪削	靴骇屉屑鞋挟蟹携谐楔歇斜邪懈械胁谢协卸契些泻解薛学
行	悉邢熙膝杭刑厘畦栖吸携晰析形型航西牺吭犀稀嬉希溪蟋	习腥姓惜锡徙戏醒隙兴媳喜杏息星猩洗幸熄席系夕袭性昔省细
衣	医艺肄意抑伊疫异漪忆翼益奕液毅屹艾一依议谊腋邑逸掖亦义溢役易揖亿译绎壹	姨夷宜尾疑椅乙矣遗仪蛇蚁移已胰以倚
西	悉膝熙厘畦栖吸携晰析行牺犀稀嬉希溪蟋	徙习戏息系袭细隙媳喜惜洗昔熄席锡夕
串		传喘穿川
位	为卫谓尉喂伪胃未味遗慰蔚魏畏	委伟尾薇苇违维围威偎萎纬唯危微巍桅
住	助注柱祝铸蛀驻	朱贮煮蛛主猪拄筑术珠属轴竹烛逐诸嘱株
伴	半扮拌绊办瓣	班板扳搬颁版般斑
何	合核盖和荷河禾盒褐	鹤喝吓呵贺赫
估	沽辜家雇咕告顾姑孤故固	股凸古鼓滑贾骨谷
佑	又诱有幼右	忧幽尤悠犹游由邮友油优
伺	食厕四刺饲肆似赐次寺	死瓷私司丝词此思差斯慈雌撕祠辞嘶磁
伸	信绅申深参身呻	沈甚审慎婶肾渗神
佃	店垫殿甸玷淀奠电惦	颠典点碘
似	食四饲伺肆赐寺	死司丝思斯撕嘶私
但	诞弹石氮担蛋旦淡	单胆耽丹
佣	用	泳蛹踊拥咏勇庸永
作	做坐凿昨座	左
伯	泊渤搏勃罢卜薄脖膊舶爸霸白柏耙博驳坝荸	八巴芭疤叭靶捌把播拔玻剥簸笆拨跋般吧扒跛菠
低	滴	抵嘀蒂嫡帝芽缔笛的弟递底第涤敌地
伶	凌灵菱玲蛉铃陵龄翎零	岭另领令
布	埠步簿怖部不	捕补哺卜
兑	对队	堆
克	课可刻客	磕苛咳坷科蝌棵壳渴颗
免	冕紊问娩文闻勉缅	瘟棉吻眠蚊绵纹面温稳
兵	冰	饼柄禀病并秉屏丙
冶	野也	页咽爷夜业椰叶射谒
冷		楞
别		瘪鳖
判	叛畔盼	胖潘攀般盘
利	立吏砾雳丽痢隶沥粒励厉力荔历莉例俐栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
删	衫山杉珊扇	闪陕善单赡擅膳
刨	爆袍咆暴炮豹抱报	褒跑堡泡饱包薄雹苞保宝抛胞
劫	节杰竭截捷结洁	接揭皆阶届街界介姊借解诫戒姐芥
助	住注柱祝铸蛀驻	朱贮煮蛛主猪拄筑术珠属轴竹烛逐诸嘱株
努		奴怒
匣	狭洽挟暇峡侠霞斜辖	虾厦瞎下吓夏
即	辑籍吃棘脊唧借急嫉击级寂集及圾吉极疾	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
卵		乱峦
吝	赁躏	凛临淋鳞琳邻林磷
吭	行航杭坑
吞		囤褪臀屯
否	匹	屁脾霹罢坏疲皮僻劈披辟啤批被譬
吧	八巴扒捌罢笆芭疤叭	爸靶霸把伯耙拔跋坝
呆	待	贷戴袋带大逮代歹怠
吴	蜈无芜巫诬亡梧	于务伍雾午乌舞勿武五呜污悟屋恶晤误物坞捂侮鹉
呈	惩成城程诚承乘盛橙澄	称秤撑逞
吕	侣履屡旅娄缕铝	氯滤律绿虑驴率
君	均钧龟军	菌窘骏峻竣俊
吩	纷氛分芬	粉愤粪奋份忿焚坟
告	估雇顾故固	沽凸糕膏辜高股古家羔篙姑稿谷咕鼓孤滑骨搅搞贾
吹	炊	椎垂捶锤
吻	稳	免紊问瘟蚊文闻纹温
